                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1897,                  4.146,                0.99524,                 0.0008,                0.03558,                0.00356,                0.00197,                 1.8953,                 5.2719,                 1.3472,               0.067457,             3.2576e-05,             3.2576e-05
                      2,                 1.0329,                 2.6389,                0.93615,                0.09989,                 0.6717,                0.29972,                0.21511,                 1.0651,                 3.8952,                0.95399,               0.034157,             6.5809e-05,             6.5809e-05
                      3,                0.92904,                  2.072,                0.90938,                0.50955,                0.46036,                0.47642,                0.35935,                 1.0012,                 2.3101,                0.92836,             0.00085621,             9.8638e-05,             9.8638e-05
                      4,                0.84359,                 1.7669,                0.88627,                0.54443,                0.50553,                0.54536,                0.41447,                0.96646,                 1.9156,                 0.9206,             9.8632e-05,             9.8632e-05,             9.8632e-05
                      5,                0.79149,                 1.5637,                0.87554,                0.64943,                0.56882,                0.60254,                 0.4584,                0.93879,                 1.6369,                0.91548,             9.7577e-05,             9.7577e-05,             9.7577e-05
                      6,                0.74219,                 1.3404,                 0.8629,                0.68751,                0.62181,                0.67196,                0.51012,                0.91642,                 1.4702,                0.90623,             9.6232e-05,             9.6232e-05,             9.6232e-05
                      7,                0.70851,                 1.1945,                0.85645,                0.75231,                0.66693,                0.74848,                0.56385,                0.90797,                 1.3862,                0.89977,             9.4605e-05,             9.4605e-05,             9.4605e-05
                      8,                0.65176,                 1.0532,                0.84777,                0.78262,                0.69192,                0.77069,                0.58816,                0.89089,                 1.3444,                0.89587,             9.2706e-05,             9.2706e-05,             9.2706e-05
                      9,                0.62482,                 0.9681,                 0.8415,                0.80427,                0.69824,                0.79231,                0.60323,                0.87861,                 1.2866,                0.89353,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     10,                  0.594,                0.88082,                0.83567,                0.81668,                0.72296,                0.80641,                0.61363,                0.88291,                 1.2498,                0.89633,              8.814e-05,              8.814e-05,              8.814e-05
                     11,                0.56388,                0.80569,                0.83182,                0.83795,                0.70534,                0.82602,                0.62955,                0.88014,                 1.2343,                0.89471,             8.5502e-05,             8.5502e-05,             8.5502e-05
                     12,                0.53893,                0.75762,                0.82696,                0.84441,                0.72423,                0.82738,                0.63133,                  0.879,                 1.1991,                 0.8924,             8.2648e-05,             8.2648e-05,             8.2648e-05
                     13,                0.51767,                0.71981,                0.82377,                0.82593,                0.74171,                0.82676,                0.63341,                0.87946,                 1.2118,                0.89594,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     14,                    0.5,                0.67518,                0.82138,                0.83557,                0.73796,                0.84136,                0.63739,                0.87694,                  1.194,                0.89579,             7.6364e-05,             7.6364e-05,             7.6364e-05
                     15,                0.47392,                0.64513,                0.81718,                0.85875,                0.73467,                 0.8403,                 0.6411,                0.87659,                 1.1977,                0.89592,             7.2973e-05,             7.2973e-05,             7.2973e-05
                     16,                0.45295,                0.62028,                0.81368,                0.86506,                  0.736,                0.84404,                0.64378,                0.87838,                 1.1926,                0.89641,             6.9443e-05,             6.9443e-05,             6.9443e-05
                     17,                0.44015,                0.60119,                0.81196,                0.85638,                0.74202,                 0.8463,                0.64278,                0.87555,                  1.174,                0.89686,             6.5796e-05,             6.5796e-05,             6.5796e-05
                     18,                0.42507,                0.57361,                0.81195,                0.83252,                0.77479,                0.85108,                0.64766,                0.87045,                 1.1739,                0.89409,             6.2056e-05,             6.2056e-05,             6.2056e-05
                     19,                0.41037,                0.56041,                0.80889,                0.79684,                0.80688,                0.85094,                0.64797,                0.87084,                 1.1645,                0.89874,             5.8244e-05,             5.8244e-05,             5.8244e-05
                     20,                0.39559,                0.54351,                0.80516,                0.82547,                0.77934,                0.84893,                0.64367,                0.87778,                 1.1652,                 0.8989,             5.4384e-05,             5.4384e-05,             5.4384e-05
                     21,                0.38557,                0.52847,                 0.8056,                0.86289,                0.74722,                0.84708,                0.64634,                0.87448,                 1.1828,                0.89968,               5.05e-05,               5.05e-05,               5.05e-05
                     22,                0.37578,                0.51862,                0.80526,                0.85753,                0.74451,                0.84839,                0.64728,                0.87681,                 1.1721,                0.89927,             4.6616e-05,             4.6616e-05,             4.6616e-05
                     23,                0.36366,                0.50316,                0.80279,                0.86261,                 0.7592,                0.84902,                0.64868,                0.87408,                 1.1791,                0.89854,             4.2756e-05,             4.2756e-05,             4.2756e-05
                     24,                0.35086,                0.49842,                0.80071,                0.84257,                0.77621,                0.85014,                0.64933,                0.87767,                 1.1715,                0.90127,             3.8944e-05,             3.8944e-05,             3.8944e-05
                     25,                0.34561,                0.48778,                0.80122,                0.82315,                0.78254,                0.85003,                0.64488,                0.87707,                 1.1826,                0.90021,             3.5204e-05,             3.5204e-05,             3.5204e-05
                     26,                0.32667,                0.47486,                0.80011,                0.80444,                0.80353,                0.84766,                0.64492,                0.87656,                 1.1826,                0.90022,             3.1557e-05,             3.1557e-05,             3.1557e-05
                     27,                0.32491,                0.47399,                0.79841,                0.81511,                0.79783,                0.84811,                0.64488,                0.87679,                 1.1784,                0.90001,             2.8027e-05,             2.8027e-05,             2.8027e-05
                     28,                0.31723,                0.46724,                0.79902,                0.80431,                0.80355,                0.84824,                0.64185,                0.87539,                 1.1778,                 0.8998,             2.4636e-05,             2.4636e-05,             2.4636e-05
                     29,                0.31036,                0.45749,                0.79855,                0.82097,                0.78169,                0.84648,                0.64417,                0.87683,                 1.1791,                0.90003,             2.1405e-05,             2.1405e-05,             2.1405e-05
