                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1906,                 4.1953,                 0.9967,                 0.0023,                0.06246,                0.00972,                0.00515,                 1.5532,                 5.1479,                 1.1699,               0.067457,             3.2576e-05,             3.2576e-05
                      2,                 1.0326,                 2.7022,                0.94118,                0.10723,                0.62513,                0.27723,                0.20703,                 1.0498,                 4.0233,                  0.952,               0.034157,             6.5809e-05,             6.5809e-05
                      3,                0.92353,                 2.1416,                0.91197,                0.44199,                0.42326,                0.44439,                0.33749,                 1.0102,                 2.3671,                0.92916,             0.00085621,             9.8638e-05,             9.8638e-05
                      4,                0.83941,                 1.8178,                0.89047,                0.50827,                 0.5036,                0.52237,                0.39365,                0.98292,                 1.9617,                0.92607,             9.8632e-05,             9.8632e-05,             9.8632e-05
                      5,                0.78631,                 1.5899,                0.87796,                0.58329,                0.58701,                0.58546,                0.44527,                0.93804,                 1.6673,                0.91692,             9.7577e-05,             9.7577e-05,             9.7577e-05
                      6,                0.73228,                 1.3712,                0.86409,                0.73569,                0.58735,                0.67402,                0.51983,                 0.9127,                  1.486,                0.90771,             9.6232e-05,             9.6232e-05,             9.6232e-05
                      7,                0.69535,                 1.2145,                0.85523,                0.76326,                 0.6488,                 0.7436,                0.56978,                0.90429,                 1.4247,                 0.9028,             9.4605e-05,             9.4605e-05,             9.4605e-05
                      8,                0.64873,                 1.0774,                0.84784,                0.86096,                0.62708,                0.77816,                0.59366,                 0.8935,                 1.3529,                0.89997,             9.2706e-05,             9.2706e-05,             9.2706e-05
                      9,                0.62281,                0.98507,                0.84236,                0.82706,                0.72248,                 0.8042,                0.61198,                0.89092,                 1.3294,                0.90352,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     10,                0.59166,                0.89254,                 0.8363,                0.80104,                0.73445,                 0.8187,                0.62286,                 0.8862,                 1.2393,                0.89975,              8.814e-05,              8.814e-05,              8.814e-05
                     11,                0.56669,                0.81224,                0.83364,                0.83365,                0.76181,                0.83213,                0.63311,                0.88271,                 1.2357,                0.90208,             8.5502e-05,             8.5502e-05,             8.5502e-05
                     12,                 0.5428,                0.77124,                0.82815,                0.86426,                0.75289,                0.84162,                0.64364,                0.87608,                 1.1864,                0.89783,             8.2648e-05,             8.2648e-05,             8.2648e-05
                     13,                0.51419,                0.71858,                0.82402,                0.87961,                0.74677,                0.84356,                0.64264,                0.87436,                  1.179,                0.90096,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     14,                0.49651,                0.68991,                0.82146,                0.85349,                0.76673,                0.84681,                0.64374,                0.87254,                  1.178,                 0.9005,             7.6364e-05,             7.6364e-05,             7.6364e-05
                     15,                0.47166,                0.65013,                 0.8175,                0.84591,                0.76961,                0.84989,                0.64422,                0.87417,                 1.1647,                0.89963,             7.2973e-05,             7.2973e-05,             7.2973e-05
                     16,                0.45421,                0.62776,                0.81366,                0.85376,                0.77451,                0.84981,                 0.6457,                0.87174,                  1.138,                0.90011,             6.9443e-05,             6.9443e-05,             6.9443e-05
                     17,                0.43949,                0.60614,                0.81213,                0.87282,                0.76086,                0.85257,                0.64943,                0.87292,                  1.135,                0.90069,             6.5796e-05,             6.5796e-05,             6.5796e-05
                     18,                0.42336,                 0.5801,                0.81078,                0.86585,                0.78018,                 0.8557,                 0.6498,                0.87315,                 1.1392,                0.90013,             6.2056e-05,             6.2056e-05,             6.2056e-05
                     19,                0.40469,                0.56623,                0.80828,                0.84956,                0.79575,                0.85656,                 0.6507,                0.87631,                 1.1417,                0.90414,             5.8244e-05,             5.8244e-05,             5.8244e-05
                     20,                0.39292,                0.54834,                0.80526,                0.86857,                0.76727,                0.85743,                0.65018,                0.87526,                 1.1262,                0.90523,             5.4384e-05,             5.4384e-05,             5.4384e-05
                     21,                0.38167,                0.53592,                0.80507,                0.87544,                0.76284,                0.85734,                0.65261,                  0.869,                  1.143,                 0.9006,               5.05e-05,               5.05e-05,               5.05e-05
                     22,                0.36907,                0.52119,                 0.8045,                0.88375,                0.75648,                0.85888,                0.65413,                0.86359,                 1.1198,                0.89914,             4.6616e-05,             4.6616e-05,             4.6616e-05
                     23,                0.35504,                0.50482,                0.80217,                0.85675,                0.77537,                0.85558,                 0.6514,                0.86945,                 1.1486,                0.90092,             4.2756e-05,             4.2756e-05,             4.2756e-05
                     24,                0.34786,                0.50581,                0.80051,                0.84582,                 0.7973,                0.85713,                0.65046,                0.86667,                 1.1251,                0.90159,             3.8944e-05,             3.8944e-05,             3.8944e-05
                     25,                0.34284,                 0.4934,                0.80083,                0.86058,                0.78507,                0.85646,                0.65068,                0.86685,                 1.1291,                0.90196,             3.5204e-05,             3.5204e-05,             3.5204e-05
                     26,                0.32778,                0.48139,                0.79938,                0.84055,                0.79304,                0.85614,                0.65114,                0.87149,                 1.1286,                0.90425,             3.1557e-05,             3.1557e-05,             3.1557e-05
                     27,                0.32309,                0.47469,                0.79715,                 0.8436,                0.78324,                0.85762,                0.65405,                0.86779,                 1.1206,                 0.9016,             2.8027e-05,             2.8027e-05,             2.8027e-05
