                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1697,                  4.485,                 0.9902,                0.03045,                0.38808,                0.10002,                0.06095,                 1.3095,                 4.5751,                   1.04,               0.067457,             3.2576e-05,             3.2576e-05
                      2,                 1.0312,                 3.1978,                0.93233,                0.05489,                0.60145,                0.22322,                0.16445,                 1.0012,                 3.8776,                0.91759,               0.034157,             6.5809e-05,             6.5809e-05
                      3,                0.94741,                 2.6764,                0.91513,                 0.5985,                 0.3472,                0.32435,                0.24374,                0.99745,                 2.7253,                0.92433,             0.00085621,             9.8638e-05,             9.8638e-05
                      4,                0.89285,                 2.3623,                0.89809,                 0.5078,                0.45806,                 0.4006,                0.30584,                0.98216,                  2.199,                0.92333,             9.8632e-05,             9.8632e-05,             9.8632e-05
                      5,                0.84312,                 2.1666,                0.88898,                0.45877,                0.45841,                0.45284,                0.34683,                0.96438,                 1.9802,                0.92148,             9.7577e-05,             9.7577e-05,             9.7577e-05
                      6,                0.80032,                 1.9425,                0.88009,                0.54494,                 0.4928,                0.50679,                0.38821,                0.95874,                 1.8806,                0.91851,             9.6232e-05,             9.6232e-05,             9.6232e-05
                      7,                0.77369,                 1.8196,                0.87049,                0.58425,                0.51937,                0.53631,                0.41431,                0.94561,                 1.7825,                 0.9118,             9.4605e-05,             9.4605e-05,             9.4605e-05
                      8,                0.73084,                  1.666,                0.86362,                0.60644,                0.54046,                0.58014,                 0.4466,                0.93672,                 1.6833,                 0.9104,             9.2706e-05,             9.2706e-05,             9.2706e-05
                      9,                0.71226,                 1.5755,                0.85805,                0.64848,                0.54546,                0.60968,                0.47331,                0.93015,                 1.6279,                0.90887,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     10,                 0.6941,                   1.47,                0.85614,                0.72859,                 0.5428,                0.64677,                0.49999,                0.91973,                  1.549,                0.90442,              8.814e-05,              8.814e-05,              8.814e-05
                     11,                0.66899,                 1.3691,                0.85289,                0.64777,                0.63967,                 0.6717,                0.51841,                0.91352,                 1.5033,                 0.9037,             8.5502e-05,             8.5502e-05,             8.5502e-05
                     12,                0.64978,                 1.3215,                0.84837,                0.70556,                0.62847,                0.69427,                0.53158,                0.91142,                 1.4714,                0.90104,             8.2648e-05,             8.2648e-05,             8.2648e-05
                     13,                0.63147,                 1.2444,                0.84579,                0.75907,                0.61813,                0.70999,                0.54448,                0.90635,                 1.4209,                0.90059,             7.9595e-05,             7.9595e-05,             7.9595e-05
