                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.157,                 4.0445,                0.97681,                0.25346,                0.13947,                0.16448,                0.13268,                  1.143,                 5.0006,                0.97793,               0.067457,             3.2576e-05,             3.2576e-05
                      2,                0.98847,                 2.4047,                 0.9238,                0.15439,                0.62923,                0.34577,                0.25326,                 1.0559,                 4.1104,                0.93181,               0.034157,             6.5809e-05,             6.5809e-05
                      3,                0.88457,                 1.8211,                0.89673,                0.71789,                0.48559,                0.58573,                0.44712,                0.95531,                 2.2909,                0.91283,             0.00085621,             9.8638e-05,             9.8638e-05
                      4,                0.80194,                 1.4734,                0.87433,                0.70788,                0.59847,                 0.6717,                0.50626,                0.93054,                 1.8025,                0.90164,             9.8632e-05,             9.8632e-05,             9.8632e-05
                      5,                0.75336,                 1.2798,                0.86345,                0.75394,                0.68111,                0.73203,                0.54731,                0.91096,                 1.5657,                 0.8965,             9.7577e-05,             9.7577e-05,             9.7577e-05
                      6,                 0.6947,                 1.1196,                0.85177,                0.82073,                0.71581,                0.79166,                0.59279,                0.89983,                 1.3969,                0.89148,             9.6232e-05,             9.6232e-05,             9.6232e-05
                      7,                0.66886,                 1.0381,                0.84618,                0.81505,                0.72613,                0.80655,                0.60245,                0.89365,                 1.3269,                0.89377,             9.4605e-05,             9.4605e-05,             9.4605e-05
                      8,                0.63317,                0.94073,                0.84089,                0.80904,                0.74225,                 0.8089,                 0.6096,                0.89115,                 1.3664,                0.89323,             9.2706e-05,             9.2706e-05,             9.2706e-05
                      9,                0.59976,                0.86775,                0.83489,                0.87497,                0.73473,                  0.831,                0.62292,                0.88578,                 1.2346,                0.89388,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     10,                0.59972,                0.79769,                0.83409,                 0.8212,                  0.768,                0.83377,                  0.626,                0.89126,                 1.2351,                0.90002,              8.814e-05,              8.814e-05,              8.814e-05
                     11,                0.57116,                0.75048,                0.83077,                0.82679,                0.77068,                0.83724,                  0.638,                  0.872,                 1.2497,                0.89595,             8.5502e-05,             8.5502e-05,             8.5502e-05
                     12,                 0.5449,                0.71126,                0.82594,                0.84052,                0.77386,                0.84863,                 0.6401,                0.87301,                 1.1655,                0.89236,             8.2648e-05,             8.2648e-05,             8.2648e-05
                     13,                0.51886,                0.67459,                0.82146,                0.85186,                0.75445,                0.84917,                0.64564,                0.86637,                 1.1574,                0.89058,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     14,                0.50266,                0.64457,                0.81957,                0.82289,                0.77501,                0.84257,                0.64013,                 0.8729,                 1.1669,                0.89374,             7.6364e-05,             7.6364e-05,             7.6364e-05
                     15,                0.48265,                  0.614,                0.81641,                0.85891,                0.77925,                0.85177,                0.64799,                0.86488,                 1.1289,                0.89556,             7.2973e-05,             7.2973e-05,             7.2973e-05
                     16,                0.46655,                 0.5919,                0.81316,                 0.8486,                0.77897,                0.85098,                0.64442,                 0.8657,                 1.1477,                0.89413,             6.9443e-05,             6.9443e-05,             6.9443e-05
                     17,                0.44707,                 0.5762,                0.81068,                0.84801,                0.77312,                0.85563,                0.65022,                 0.8587,                 1.1301,                0.89377,             6.5796e-05,             6.5796e-05,             6.5796e-05
                     18,                0.42669,                0.55501,                0.80972,                0.84343,                0.77881,                0.85402,                0.64949,                0.86363,                 1.1087,                0.89599,             6.2056e-05,             6.2056e-05,             6.2056e-05
                     19,                  0.418,                0.53684,                0.80865,                0.83571,                0.78745,                0.85431,                0.65056,                 0.8631,                 1.1212,                0.89495,             5.8244e-05,             5.8244e-05,             5.8244e-05
