                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1891,                 4.2039,                0.99853,                0.14316,                0.04853,                0.07657,                0.05235,                 1.6744,                 5.2192,                 1.2296,               0.067449,              2.515e-05,              2.515e-05
                      2,                 1.0339,                  2.781,                0.93355,                0.09953,                0.61578,                0.26179,                0.19354,                 1.0497,                 3.9448,                0.94832,               0.034142,             5.0806e-05,             5.0806e-05
                      3,                0.93025,                 2.2113,                0.91377,                0.53347,                0.41255,                0.39878,                0.30499,                0.99416,                 2.5018,                0.93323,             0.00083373,             7.6152e-05,             7.6152e-05
                      4,                0.84574,                  1.882,                0.89129,                0.45326,                0.48408,                0.48961,                0.37468,                 0.9602,                 1.9808,                0.92637,             7.6147e-05,             7.6147e-05,             7.6147e-05
                      5,                0.80211,                 1.6799,                0.88273,                0.57753,                0.50901,                0.54706,                0.42007,                0.94211,                 1.7384,                0.91829,             7.5333e-05,             7.5333e-05,             7.5333e-05
                      6,                0.75023,                 1.4758,                0.86976,                0.58087,                0.59392,                 0.6126,                0.47197,                0.93283,                 1.6016,                 0.9172,             7.4294e-05,             7.4294e-05,             7.4294e-05
                      7,                0.71293,                 1.3348,                0.86008,                 0.7103,                0.59805,                0.67312,                0.51724,                0.91616,                 1.5072,                0.91398,             7.3038e-05,             7.3038e-05,             7.3038e-05
                      8,                0.66529,                 1.1815,                0.85388,                0.74693,                 0.6569,                0.73129,                0.55617,                0.90299,                 1.4227,                0.90837,             7.1572e-05,             7.1572e-05,             7.1572e-05
                      9,                0.63931,                 1.0856,                0.84664,                0.76041,                0.68741,                0.76398,                0.58335,                  0.897,                 1.3723,                0.90684,             6.9905e-05,             6.9905e-05,             6.9905e-05
                     10,                0.60541,                0.98913,                   0.84,                0.83447,                0.66529,                 0.7842,                 0.5964,                0.88967,                 1.3015,                0.90536,             6.8047e-05,             6.8047e-05,             6.8047e-05
                     11,                0.58821,                0.90752,                 0.8385,                0.81462,                 0.6892,                0.79544,                0.60128,                0.89576,                 1.2747,                0.90655,              6.601e-05,              6.601e-05,              6.601e-05
                     12,                0.56704,                0.85742,                0.83344,                0.81872,                0.69922,                0.80686,                0.60956,                0.89485,                 1.2762,                0.90415,             6.3807e-05,             6.3807e-05,             6.3807e-05
                     13,                0.54421,                0.80215,                0.82956,                0.79099,                0.74431,                0.82048,                0.61971,                0.89623,                 1.2329,                0.90806,              6.145e-05,              6.145e-05,              6.145e-05
                     14,                0.51682,                0.75779,                0.82599,                0.80653,                0.75033,                0.82573,                0.62679,                0.88894,                 1.2248,                0.90652,             5.8955e-05,             5.8955e-05,             5.8955e-05
                     15,                0.49515,                0.72543,                0.82208,                0.86715,                0.71099,                0.83026,                0.63191,                0.88537,                 1.1946,                0.90607,             5.6337e-05,             5.6337e-05,             5.6337e-05
                     16,                0.48265,                0.70008,                 0.8185,                0.85084,                0.73848,                0.83843,                0.63396,                0.89043,                 1.1965,                0.90756,             5.3612e-05,             5.3612e-05,             5.3612e-05
                     17,                0.46801,                0.67457,                 0.8169,                0.79674,                0.77199,                0.83402,                0.63485,                0.88721,                 1.1989,                0.90743,             5.0797e-05,             5.0797e-05,             5.0797e-05
                     18,                0.45248,                 0.6493,                 0.8162,                0.87218,                0.71704,                 0.8441,                0.63695,                0.88409,                 1.1829,                0.90833,             4.7909e-05,             4.7909e-05,             4.7909e-05
                     19,                0.43339,                0.62859,                0.81301,                0.84359,                0.75317,                0.84408,                0.64125,                 0.8837,                 1.1788,                0.90554,             4.4966e-05,             4.4966e-05,             4.4966e-05
                     20,                0.42081,                0.60732,                0.81018,                0.88796,                0.72417,                0.84889,                0.64804,                 0.8881,                 1.1683,                0.90643,             4.1986e-05,             4.1986e-05,             4.1986e-05
                     21,                0.41183,                0.59449,                0.80997,                  0.869,                0.72532,                0.84654,                 0.6445,                0.88603,                 1.1834,                 0.9081,             3.8988e-05,             3.8988e-05,             3.8988e-05
                     22,                0.40055,                0.57951,                0.80973,                 0.8604,                0.74342,                0.84607,                0.64204,                0.87939,                 1.1699,                0.90508,             3.5989e-05,             3.5989e-05,             3.5989e-05
                     23,                0.38651,                0.56414,                0.80688,                0.87123,                0.73815,                0.84952,                0.64507,                0.88704,                 1.1758,                0.90756,             3.3009e-05,             3.3009e-05,             3.3009e-05
                     24,                0.37927,                0.56393,                0.80537,                0.88258,                0.72686,                0.84798,                0.64534,                0.88307,                 1.1712,                 0.9071,             3.0066e-05,             3.0066e-05,             3.0066e-05
                     25,                0.37063,                0.54481,                 0.8056,                 0.8555,                0.74827,                0.85045,                0.64274,                0.88399,                 1.1771,                0.90626,             2.7178e-05,             2.7178e-05,             2.7178e-05
