                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1743,                 3.5286,                0.99158,                0.39036,                0.26183,                0.30663,                0.23085,                 1.0786,                 4.7774,                0.96716,               0.067777,             0.00035304,             0.00035304
                      2,                0.99869,                 1.8364,                0.93588,                0.85659,                0.21689,                0.51221,                0.36613,                  1.157,                 3.1009,                0.98373,               0.034804,             0.00071319,             0.00071319
                      3,                0.92058,                 1.3932,                0.91075,                0.66105,                  0.666,                0.69084,                0.51208,                 1.0011,                 1.7123,                0.94209,              0.0018266,               0.001069,               0.001069
                      4,                0.83316,                 1.1355,                0.89153,                0.75745,                0.71049,                0.78929,                0.58022,                0.99527,                 1.4607,                 0.9443,              0.0010689,              0.0010689,              0.0010689
                      5,                0.79344,                 0.9686,                0.88385,                0.79232,                0.78296,                0.82896,                0.61393,                0.95274,                  1.237,                0.93166,              0.0010575,              0.0010575,              0.0010575
                      6,                0.72372,                0.83775,                0.86447,                0.84654,                0.79537,                0.85969,                0.63527,                0.95442,                 1.2039,                0.93176,              0.0010429,              0.0010429,              0.0010429
                      7,                0.69084,                0.75831,                0.85484,                0.78561,                0.75994,                0.81416,                0.61032,                0.92698,                 1.3615,                0.91678,              0.0010253,              0.0010253,              0.0010253
                      8,                0.64012,                0.66741,                 0.8434,                0.86232,                0.79442,                0.83918,                0.63002,                0.91993,                 1.2435,                0.92747,              0.0010047,              0.0010047,              0.0010047
                      9,                0.59906,                0.63921,                0.83586,                0.81019,                0.78446,                0.83969,                0.63524,                0.90197,                 1.2766,                 0.9133,             0.00098129,             0.00098129,             0.00098129
                     10,                0.56083,                0.60766,                0.82936,                0.86323,                0.81051,                0.86179,                0.65132,                0.91715,                 1.1447,                0.91874,             0.00095521,             0.00095521,             0.00095521
                     11,                0.53989,                0.55435,                 0.8249,                0.84642,                 0.8128,                0.85679,                0.64811,                0.89942,                 1.1577,                0.92116,             0.00092662,             0.00092662,             0.00092662
                     12,                0.50396,                0.51708,                0.81822,                0.89563,                0.79213,                  0.879,                0.65872,                0.89344,                  1.056,                0.91263,             0.00089569,             0.00089569,             0.00089569
                     13,                0.47095,                0.48567,                0.81228,                0.90952,                0.79228,                0.88623,                0.67036,                 0.8898,                 1.0306,                0.91287,             0.00086261,             0.00086261,             0.00086261
                     14,                0.45846,                0.45576,                0.81044,                0.87269,                0.83226,                0.87599,                0.66795,                 0.8761,                 1.0639,                0.91149,             0.00082758,             0.00082758,             0.00082758
                     15,                   0.42,                0.42409,                0.80457,                0.88646,                0.80546,                0.88048,                0.66969,                 0.8622,                 1.0617,                0.91133,             0.00079083,             0.00079083,             0.00079083
                     16,                0.40361,                0.40689,                0.80036,                0.88297,                0.83784,                 0.8954,                0.68877,                0.85419,                 1.0244,                0.90311,             0.00075258,             0.00075258,             0.00075258
                     17,                0.38511,                0.39073,                0.79938,                0.89011,                0.83428,                0.89619,                0.68983,                0.84984,                0.97878,                0.90919,             0.00071306,             0.00071306,             0.00071306
                     18,                0.35418,                0.36587,                0.79684,                0.89097,                0.84791,                0.89729,                0.69015,                0.83962,                0.97425,                0.90305,             0.00067252,             0.00067252,             0.00067252
                     19,                 0.3358,                0.34767,                0.79404,                0.90824,                0.81724,                0.89394,                0.68866,                0.84854,                0.95836,                0.90738,             0.00063121,             0.00063121,             0.00063121
                     20,                0.33806,                0.34564,                0.79249,                0.88367,                0.83578,                0.89394,                0.69039,                0.83196,                0.95967,                0.90085,             0.00058938,             0.00058938,             0.00058938
                     21,                0.31717,                0.33077,                0.79177,                0.88064,                0.85227,                0.89615,                0.69433,                0.82989,                0.96398,                0.90379,             0.00054729,             0.00054729,             0.00054729
                     22,                0.29601,                0.31185,                 0.7897,                0.87813,                0.84554,                0.89328,                0.68377,                0.83569,                0.96699,                0.90352,              0.0005052,              0.0005052,              0.0005052
                     23,                0.27265,                0.29247,                0.78696,                0.86602,                0.85298,                0.89216,                0.68943,                0.83076,                 0.9548,                 0.9012,             0.00046337,             0.00046337,             0.00046337
                     24,                0.25537,                0.27718,                0.78434,                 0.9029,                0.82982,                0.88963,                0.68748,                0.83168,                0.95987,                0.90352,             0.00042206,             0.00042206,             0.00042206
                     25,                0.24792,                0.26826,                0.78524,                0.90902,                0.81679,                0.89332,                0.69124,                0.82587,                0.93883,                0.89896,             0.00038152,             0.00038152,             0.00038152
                     26,                0.23192,                  0.254,                0.78406,                0.88766,                0.83065,                0.89392,                0.69173,                0.82588,                 0.9671,                0.89973,               0.000342,               0.000342,               0.000342
