                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2006,                 4.3366,                0.99587,                0.00017,                0.06417,                0.00359,                0.00103,                 1.6284,                 5.1479,                  1.226,               0.067428,             3.2576e-06,             3.2576e-06
                      2,                 1.0846,                 3.1905,                0.94972,                0.09462,                0.41975,                0.14539,                0.10211,                 1.1127,                 4.5741,                0.98783,               0.034097,             6.5809e-06,             6.5809e-06
                      3,                  1.007,                 2.8146,                0.93171,                0.54513,                0.24268,                0.22656,                0.16749,                 1.0582,                 3.1516,                0.95628,             0.00076744,             9.8638e-06,             9.8638e-06
                      4,                0.96232,                 2.6525,                0.91872,                0.54468,                0.37448,                0.26952,                 0.2004,                 1.0342,                 2.5659,                0.94545,             9.8632e-06,             9.8632e-06,             9.8632e-06
                      5,                0.94165,                 2.5481,                0.91678,                0.58372,                0.34898,                0.30484,                0.22865,                 1.0257,                 2.3932,                0.93935,             9.7577e-06,             9.7577e-06,             9.7577e-06
                      6,                0.91348,                 2.4084,                0.90912,                0.45334,                0.39308,                0.34089,                0.25786,                 1.0148,                 2.3103,                0.93686,             9.6232e-06,             9.6232e-06,             9.6232e-06
                      7,                0.88968,                 2.3501,                0.90253,                0.48033,                0.38382,                0.36522,                0.27721,                 1.0051,                 2.2435,                0.93413,             9.4605e-06,             9.4605e-06,             9.4605e-06
                      8,                0.86599,                 2.2611,                0.89935,                0.47675,                0.41859,                0.38408,                0.28821,                0.99973,                 2.1696,                0.93215,             9.2706e-06,             9.2706e-06,             9.2706e-06
                      9,                0.84635,                 2.1754,                0.89356,                0.54123,                0.42412,                0.40332,                0.30432,                0.99297,                 2.1157,                0.92948,             9.0546e-06,             9.0546e-06,             9.0546e-06
                     10,                0.84004,                 2.1159,                0.89209,                0.57209,                0.41372,                0.42385,                0.32169,                0.98468,                  2.068,                0.92701,              8.814e-06,              8.814e-06,              8.814e-06
                     11,                0.82314,                 2.0281,                0.88897,                0.62389,                0.41174,                0.43744,                0.33214,                 0.9795,                 2.0295,                0.92593,             8.5502e-06,             8.5502e-06,             8.5502e-06
                     12,                0.80982,                 1.9981,                0.88529,                 0.6574,                0.39743,                0.44964,                0.34129,                 0.9779,                 1.9964,                0.92591,             8.2648e-06,             8.2648e-06,             8.2648e-06
                     13,                0.79635,                  1.936,                0.88325,                0.46331,                0.44155,                0.46192,                0.35038,                0.97148,                  1.961,                0.92486,             7.9595e-06,             7.9595e-06,             7.9595e-06
                     14,                0.78288,                 1.8809,                0.88257,                 0.4576,                0.46269,                0.47392,                0.35994,                0.96872,                 1.9247,                0.92447,             7.6364e-06,             7.6364e-06,             7.6364e-06
                     15,                0.77087,                 1.8342,                0.87748,                0.47397,                0.48561,                0.48488,                0.36842,                0.96827,                 1.8998,                 0.9244,             7.2973e-06,             7.2973e-06,             7.2973e-06
                     16,                0.76123,                 1.8118,                 0.8743,                0.47649,                0.50099,                0.49472,                0.37594,                 0.9661,                 1.8747,                0.92384,             6.9443e-06,             6.9443e-06,             6.9443e-06
                     17,                0.75591,                 1.7677,                0.87457,                0.50048,                0.49485,                0.50478,                0.38331,                0.96449,                 1.8552,                0.92255,             6.5796e-06,             6.5796e-06,             6.5796e-06
                     18,                 0.7488,                 1.7165,                0.87608,                0.52917,                0.50906,                0.51297,                0.39127,                0.96297,                 1.8304,                0.92221,             6.2056e-06,             6.2056e-06,             6.2056e-06
                     19,                0.73824,                 1.7005,                0.87267,                0.55411,                0.51875,                0.52146,                 0.3989,                0.96052,                 1.8105,                0.92155,             5.8244e-06,             5.8244e-06,             5.8244e-06
                     20,                0.73123,                 1.6741,                0.86998,                0.56758,                0.51536,                0.52988,                0.40588,                0.95899,                  1.793,                0.92019,             5.4384e-06,             5.4384e-06,             5.4384e-06
                     21,                0.72989,                  1.646,                0.86928,                0.57501,                0.52244,                0.53585,                0.40829,                 0.9595,                 1.7837,                0.91968,               5.05e-06,               5.05e-06,               5.05e-06
                     22,                0.72112,                 1.6185,                0.87067,                0.58043,                0.52615,                 0.5446,                0.41428,                 0.9568,                 1.7701,                0.91892,             4.6616e-06,             4.6616e-06,             4.6616e-06
                     23,                0.71498,                 1.6016,                0.86747,                0.58953,                0.54848,                0.55011,                0.41947,                  0.958,                 1.7602,                 0.9198,             4.2756e-06,             4.2756e-06,             4.2756e-06
                     24,                0.71174,                 1.6192,                0.86516,                 0.6239,                0.52939,                0.55609,                0.42539,                0.95731,                 1.7511,                0.92027,             3.8944e-06,             3.8944e-06,             3.8944e-06
                     25,                0.70874,                 1.5913,                0.86472,                0.64041,                0.52582,                0.56549,                0.43334,                0.95664,                 1.7432,                0.91999,             3.5204e-06,             3.5204e-06,             3.5204e-06
                     26,                0.69752,                 1.5559,                0.86568,                0.65818,                0.52615,                0.56905,                0.43568,                0.95577,                  1.736,                0.91996,             3.1557e-06,             3.1557e-06,             3.1557e-06
                     27,                 0.6966,                 1.5554,                0.86393,                0.67849,                0.52274,                0.57344,                0.43797,                0.95537,                 1.7279,                0.91966,             2.8027e-06,             2.8027e-06,             2.8027e-06
                     28,                0.69661,                 1.5488,                0.86586,                0.67849,                0.52337,                 0.5774,                0.44222,                0.95428,                 1.7186,                0.91946,             2.4636e-06,             2.4636e-06,             2.4636e-06
                     29,                0.69236,                 1.5212,                0.86359,                0.71018,                0.52168,                0.58162,                 0.4461,                 0.9536,                  1.711,                0.91983,             2.1405e-06,             2.1405e-06,             2.1405e-06
                     30,                0.69032,                 1.5468,                0.86216,                0.71384,                0.52163,                0.58308,                0.44664,                0.95408,                 1.7069,                0.91964,             1.8352e-06,             1.8352e-06,             1.8352e-06
                     31,                0.68791,                 1.5104,                0.86451,                0.71313,                0.52145,                0.58585,                0.44869,                0.95345,                 1.7036,                 0.9196,             1.5498e-06,             1.5498e-06,             1.5498e-06
                     32,                0.68409,                 1.4977,                0.86186,                0.71802,                0.51942,                0.58787,                0.45011,                0.95317,                 1.7023,                0.91912,              1.286e-06,              1.286e-06,              1.286e-06
                     33,                0.69325,                  1.525,                0.86239,                0.72284,                0.51931,                0.58931,                0.45168,                 0.9531,                 1.6991,                0.91909,             1.0454e-06,             1.0454e-06,             1.0454e-06
                     34,                0.68029,                 1.4824,                 0.8625,                0.72552,                0.51957,                0.59046,                0.45193,                0.95269,                 1.6955,                0.91919,             8.2943e-07,             8.2943e-07,             8.2943e-07
                     35,                 0.6875,                 1.4985,                0.86206,                0.72441,                0.52248,                0.59133,                0.45339,                0.95196,                 1.6945,                0.91897,             6.3952e-07,             6.3952e-07,             6.3952e-07
                     36,                0.68685,                 1.5146,                0.86231,                0.72965,                0.52043,                0.59145,                 0.4538,                0.95198,                 1.6956,                0.91914,              4.768e-07,              4.768e-07,              4.768e-07
                     37,                 0.6831,                 1.5115,                0.86113,                0.72762,                0.52146,                 0.5913,                0.45348,                0.95202,                 1.6937,                0.91927,             3.4227e-07,             3.4227e-07,             3.4227e-07
                     38,                0.68506,                 1.4879,                0.86259,                0.72548,                0.52193,                0.59183,                0.45384,                0.95256,                 1.6941,                 0.9195,             2.3677e-07,             2.3677e-07,             2.3677e-07
                     39,                 0.6814,                 1.5184,                0.86172,                0.72541,                 0.5237,                0.59236,                0.45441,                0.95183,                 1.6912,                0.91907,             1.6094e-07,             1.6094e-07,             1.6094e-07
                     40,                0.67795,                 1.4834,                  0.861,                0.72313,                0.52216,                0.59188,                0.45365,                0.95209,                  1.692,                0.91963,             1.1526e-07,             1.1526e-07,             1.1526e-07
