                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.188,                 3.8728,                 1.0021,                0.33237,                0.05281,                0.18599,                0.15232,                 1.2395,                 5.6382,                 1.0794,               0.067792,             0.00033166,             0.00033166
                      2,                0.99739,                 2.0421,                0.94519,                0.16956,                0.85759,                0.53341,                0.38084,                 1.0678,                 3.9246,                0.97012,               0.034797,             0.00067038,             0.00067038
                      3,                 0.9132,                 1.5133,                0.92516,                0.68803,                0.68649,                0.72918,                0.53685,                 1.0181,                  1.936,                0.96322,              0.0017986,               0.001005,               0.001005
                      4,                0.83131,                 1.2476,                0.89769,                0.77503,                  0.646,                0.73859,                0.54835,                0.99361,                 1.8849,                0.94614,              0.0010053,              0.0010053,              0.0010053
                      5,                0.77383,                 1.0573,                 0.8834,                0.82368,                0.68257,                0.80658,                 0.6017,                0.95969,                 1.5027,                0.95038,             0.00099454,             0.00099454,             0.00099454
                      6,                 0.7206,                0.93578,                0.86835,                0.78011,                0.79514,                0.85034,                0.63835,                0.92244,                 1.3661,                0.92748,             0.00098083,             0.00098083,             0.00098083
                      7,                0.68156,                0.82733,                 0.8626,                0.86202,                 0.7778,                0.86262,                0.64382,                 0.9274,                 1.3379,                0.93257,             0.00096424,             0.00096424,             0.00096424
                      8,                0.65063,                0.77267,                 0.8501,                0.91017,                0.75581,                0.86395,                0.64939,                0.90717,                 1.2978,                0.92313,             0.00094489,             0.00094489,             0.00094489
                      9,                0.60889,                0.71099,                0.84244,                0.82799,                0.80509,                   0.85,                0.63601,                0.90027,                 1.3183,                0.92079,             0.00092288,             0.00092288,             0.00092288
                     10,                0.57261,                0.64519,                0.83543,                0.85234,                0.80333,                0.85841,                 0.6552,                0.88669,                 1.3695,                 0.9228,             0.00089835,             0.00089835,             0.00089835
                     11,                0.53555,                0.60213,                0.82891,                0.82781,                0.82491,                0.86243,                 0.6627,                0.90108,                 1.3315,                0.92134,             0.00087146,             0.00087146,             0.00087146
                     12,                0.52999,                0.57938,                0.82291,                0.88664,                0.79707,                0.86665,                0.66109,                0.87823,                 1.2723,                0.91863,             0.00084237,             0.00084237,             0.00084237
                     13,                0.48408,                0.53806,                 0.8168,                0.87642,                0.81831,                 0.8748,                0.67006,                0.88228,                 1.2513,                0.91806,             0.00081126,             0.00081126,             0.00081126
                     14,                0.45232,                0.50288,                0.81177,                0.88674,                0.80773,                0.87548,                0.67168,                0.87025,                  1.242,                0.91619,             0.00077832,             0.00077832,             0.00077832
                     15,                0.42781,                0.47676,                0.80779,                0.89349,                0.80629,                0.87348,                0.67479,                0.87121,                 1.2753,                0.91728,             0.00074376,             0.00074376,             0.00074376
                     16,                0.41928,                0.46154,                0.80572,                0.90697,                0.79532,                0.87923,                0.67751,                0.86996,                 1.2421,                0.91457,             0.00070778,             0.00070778,             0.00070778
                     17,                0.41519,                0.45647,                0.80312,                0.87901,                0.81166,                0.88558,                 0.6804,                0.87335,                 1.2739,                0.91499,             0.00067062,             0.00067062,             0.00067062
                     18,                 0.3823,                0.42453,                0.79876,                0.88834,                0.82131,                0.88381,                0.68429,                 0.8642,                 1.2241,                0.91205,             0.00063249,             0.00063249,             0.00063249
                     19,                0.36059,                0.40089,                 0.7986,                0.88403,                0.82238,                0.88482,                0.67989,                  0.855,                 1.2163,                0.91294,             0.00059364,             0.00059364,             0.00059364
