                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1722,                 3.1274,                0.98987,                0.22302,                0.12552,                0.15561,                0.11715,                 1.1125,                 4.3735,                0.98468,               0.067756,             0.00033202,             0.00033202
                      2,                0.99853,                 1.6591,                0.93305,                0.79538,                0.24176,                0.51441,                0.36994,                 1.0753,                 2.6866,                0.96746,               0.034762,             0.00067074,             0.00067074
                      3,                0.89511,                 1.2643,                0.90265,                0.70537,                0.63275,                0.70819,                0.52203,                0.99066,                 1.4585,                0.92581,              0.0017629,              0.0010053,              0.0010053
                      4,                0.81533,                 1.0147,                0.88388,                0.75631,                0.68832,                0.75854,                0.56459,                0.95975,                 1.2409,                0.91897,              0.0010053,              0.0010053,              0.0010053
                      5,                0.76782,                0.86837,                0.87798,                 0.8399,                0.73112,                0.82712,                0.60641,                0.94218,                 1.1019,                0.92808,             0.00099454,             0.00099454,             0.00099454
                      6,                0.72994,                0.74931,                0.86175,                0.80791,                0.80314,                 0.8607,                0.64985,                0.90849,                  1.014,                 0.9097,             0.00098083,             0.00098083,             0.00098083
                      7,                0.67656,                0.65895,                0.84968,                0.82909,                0.76861,                0.84719,                0.64277,                0.89747,                 1.0358,                0.90785,             0.00096424,             0.00096424,             0.00096424
                      8,                0.63388,                0.58521,                0.84136,                0.80577,                0.76021,                0.83951,                0.63286,                0.90828,                  1.094,                0.91246,             0.00094489,             0.00094489,             0.00094489
                      9,                 0.6013,                0.54949,                0.83442,                0.87148,                0.79483,                0.85389,                0.64132,                0.90271,                 1.0196,                 0.9076,             0.00092288,             0.00092288,             0.00092288
                     10,                0.55129,                0.50871,                 0.8261,                0.88089,                0.80222,                0.87482,                0.66585,                0.87226,                  1.005,                0.90437,             0.00089835,             0.00089835,             0.00089835
                     11,                 0.5144,                0.47543,                0.82051,                0.88487,                0.81217,                0.88546,                0.67195,                0.87012,                0.88474,                0.90476,             0.00087146,             0.00087146,             0.00087146
                     12,                0.48702,                0.44041,                0.81523,                0.88135,                0.82321,                0.89023,                0.68075,                0.87384,                 0.9076,                 0.9048,             0.00084237,             0.00084237,             0.00084237
                     13,                0.47452,                0.41738,                0.81268,                0.85227,                0.84193,                0.88942,                0.68376,                0.87037,                0.89981,                0.90339,             0.00081126,             0.00081126,             0.00081126
                     14,                0.44536,                0.39313,                0.80892,                0.87502,                0.84112,                0.89678,                0.68412,                 0.8508,                0.86879,                 0.8974,             0.00077832,             0.00077832,             0.00077832
                     15,                0.41592,                0.37034,                0.80332,                0.88015,                0.83611,                 0.8866,                0.68085,                0.86027,                 0.9002,                0.89905,             0.00074376,             0.00074376,             0.00074376
                     16,                0.39202,                0.35103,                0.79943,                0.89957,                0.81029,                 0.8904,                0.68656,                0.85296,                0.88586,                0.89842,             0.00070778,             0.00070778,             0.00070778
                     17,                0.37845,                0.33802,                0.79844,                0.89763,                0.82122,                0.88779,                0.68245,                0.85366,                0.87301,                0.90002,             0.00067062,             0.00067062,             0.00067062
                     18,                0.34901,                0.31637,                0.79588,                0.90596,                0.81894,                0.89215,                0.69436,                 0.8371,                0.85469,                0.89242,             0.00063249,             0.00063249,             0.00063249
                     19,                0.33018,                0.30216,                0.79338,                0.89049,                 0.8377,                0.89635,                0.69939,                0.83002,                0.84318,                0.89435,             0.00059364,             0.00059364,             0.00059364
                     20,                0.31898,                0.29449,                 0.7908,                0.87666,                 0.8424,                0.89751,                0.70021,                0.83545,                0.85454,                0.89618,              0.0005543,              0.0005543,              0.0005543
                     21,                0.30246,                0.28032,                0.79034,                 0.8749,                0.85119,                0.89853,                    0.7,                 0.8257,                0.84539,                 0.8943,             0.00051471,             0.00051471,             0.00051471
                     22,                0.27828,                0.26392,                0.78846,                0.87518,                0.84759,                0.89831,                0.69898,                0.82645,                0.83262,                 0.8956,             0.00047513,             0.00047513,             0.00047513
                     23,                0.27003,                0.25581,                0.78636,                0.88261,                0.83833,                 0.8967,                0.69914,                0.82608,                0.83699,                0.89388,             0.00043579,             0.00043579,             0.00043579
                     24,                0.25401,                0.24527,                0.78409,                 0.8943,                0.83365,                0.89813,                0.70063,                0.81919,                0.84295,                0.89358,             0.00039694,             0.00039694,             0.00039694
                     25,                0.24136,                0.23378,                0.78479,                0.89039,                0.83221,                0.89512,                0.70234,                0.82696,                0.83565,                 0.8911,             0.00035881,             0.00035881,             0.00035881
                     26,                 0.2224,                0.22248,                0.78409,                0.88824,                0.83131,                0.89854,                0.70144,                0.82094,                0.83634,                0.89358,             0.00032164,             0.00032164,             0.00032164
                     27,                0.20657,                0.20816,                0.78151,                0.88725,                0.84439,                0.89854,                0.70246,                0.81702,                0.84432,                0.89321,             0.00028567,             0.00028567,             0.00028567
                     28,                0.20648,                0.20727,                0.78227,                0.88504,                0.84246,                0.90016,                0.70245,                0.82019,                0.83098,                0.89279,              0.0002511,              0.0002511,              0.0002511
                     29,                0.19294,                0.19648,                0.78169,                 0.8969,                0.82777,                0.89982,                 0.7047,                0.81678,                 0.8361,                0.89208,             0.00021816,             0.00021816,             0.00021816
                     30,                0.18346,                0.18958,                 0.7791,                 0.8951,                0.82969,                0.90191,                0.70543,                0.82167,                0.83981,                0.89465,             0.00018705,             0.00018705,             0.00018705
                     31,                0.18011,                 0.1858,                0.78103,                0.89484,                0.83546,                 0.9004,                 0.7074,                0.81763,                0.83165,                0.89476,             0.00015796,             0.00015796,             0.00015796
                     32,                 0.1677,                0.17488,                0.78138,                0.88269,                0.83888,                0.90015,                0.70653,                0.81512,                0.83331,                0.89359,             0.00013107,             0.00013107,             0.00013107
                     33,                0.16065,                0.17033,                0.77909,                0.89018,                0.84054,                0.90105,                0.70483,                 0.8154,                0.83753,                0.89344,             0.00010655,             0.00010655,             0.00010655
                     34,                0.15542,                0.16507,                0.77983,                0.88879,                0.84004,                0.89938,                0.70614,                0.81323,                0.84283,                0.89266,             8.4538e-05,             8.4538e-05,             8.4538e-05
                     35,                0.15027,                0.16192,                0.77861,                0.88106,                0.84201,                0.89968,                0.70681,                0.81489,                0.83892,                 0.8935,             6.5182e-05,             6.5182e-05,             6.5182e-05
                     36,                0.14701,                0.15887,                0.77974,                0.88663,                0.83653,                0.89946,                0.70503,                0.81557,                0.84392,                0.89352,             4.8597e-05,             4.8597e-05,             4.8597e-05
