                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1908,                 4.8014,                 1.0078,                0.38022,                0.21651,                0.27836,                0.21255,                 1.1221,                 6.5502,                0.98894,               0.067756,             0.00033202,             0.00033202
                      2,                 1.0184,                 2.5393,                0.95064,                0.25105,                0.53109,                0.36796,                0.25736,                 1.2031,                 5.1735,                 1.0393,               0.034762,             0.00067074,             0.00067074
                      3,                0.92391,                 1.9373,                0.92964,                0.64296,                0.58661,                0.65735,                0.46915,                 1.0111,                 2.9783,                0.98154,              0.0017629,              0.0010053,              0.0010053
                      4,                0.84866,                 1.5899,                 0.9081,                0.70142,                0.68702,                0.74681,                0.54766,                   1.02,                 2.2526,                0.97164,              0.0010053,              0.0010053,              0.0010053
                      5,                0.80279,                 1.3388,                0.89579,                0.80851,                0.75471,                0.80693,                 0.5894,                0.98202,                 1.9165,                0.96637,             0.00099454,             0.00099454,             0.00099454
                      6,                0.75985,                 1.1928,                0.88384,                0.82619,                0.75436,                0.82689,                0.60249,                0.97782,                 1.7633,                0.95565,             0.00098083,             0.00098083,             0.00098083
                      7,                0.73195,                 1.0909,                0.87635,                0.77796,                0.78382,                0.83163,                 0.6172,                0.95015,                  1.877,                0.94997,             0.00096424,             0.00096424,             0.00096424
                      8,                0.68373,                0.97833,                0.86154,                0.83437,                0.78511,                0.84304,                0.62916,                0.93347,                 1.8085,                0.94196,             0.00094489,             0.00094489,             0.00094489
                      9,                0.64234,                0.92093,                0.85574,                0.86021,                0.77231,                0.86904,                0.65188,                0.94167,                 1.5969,                0.94607,             0.00092288,             0.00092288,             0.00092288
                     10,                0.61561,                0.86847,                0.84598,                0.88131,                0.77667,                0.86741,                0.64947,                0.91889,                 1.6108,                0.94776,             0.00089835,             0.00089835,             0.00089835
                     11,                0.58104,                0.79101,                0.84177,                0.85048,                  0.794,                 0.8582,                0.65167,                0.90314,                 1.6472,                0.93185,             0.00087146,             0.00087146,             0.00087146
                     12,                0.55034,                 0.7612,                0.83333,                 0.8504,                0.78828,                0.84845,                0.64741,                0.89899,                 1.7797,                0.93173,             0.00084237,             0.00084237,             0.00084237
                     13,                0.52271,                0.72731,                0.82886,                0.85994,                0.82679,                0.86404,                0.65799,                0.89283,                 1.4681,                0.92937,             0.00081126,             0.00081126,             0.00081126
