                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2572,                 5.4935,                 1.0355,                0.00298,                 0.2156,                0.01674,                 0.0126,                 1.0233,                 4.7544,                0.92404,               0.067457,             3.2576e-05,             3.2576e-05
                      2,                 1.0852,                 5.0037,                0.94348,                0.00938,                0.43406,                0.05874,                 0.0417,                  1.021,                 4.4594,                0.90682,               0.034157,             6.5809e-05,             6.5809e-05
                      3,                 1.0279,                 4.5015,                0.91623,                0.34852,                0.15087,                 0.1567,                0.10898,                 1.0269,                 3.8201,                 0.9035,             0.00085621,             9.8638e-05,             9.8638e-05
                      4,                0.99576,                 4.0101,                0.90689,                0.37535,                0.28723,                0.19624,                0.14097,                 1.0312,                 3.0464,                 0.9072,             9.8632e-05,             9.8632e-05,             9.8632e-05
                      5,                0.96975,                 3.5667,                0.90207,                0.37539,                0.37354,                0.24189,                0.17551,                 1.0139,                  2.715,                0.90237,             9.7577e-05,             9.7577e-05,             9.7577e-05
                      6,                0.92461,                 3.1653,                0.89387,                0.57749,                0.37438,                0.30052,                0.22259,                0.99917,                 2.4589,                0.89995,             9.6232e-05,             9.6232e-05,             9.6232e-05
                      7,                0.89577,                 2.9331,                0.88812,                0.61818,                0.35593,                0.34842,                0.26262,                0.97777,                 2.3352,                0.89541,             9.4605e-05,             9.4605e-05,             9.4605e-05
                      8,                0.84832,                 2.7236,                0.88025,                0.65283,                0.36676,                0.39513,                0.29911,                0.96004,                 2.1536,                0.89231,             9.2706e-05,             9.2706e-05,             9.2706e-05
                      9,                0.81463,                 2.5515,                0.87208,                0.54268,                0.41694,                0.43447,                0.33056,                0.94163,                   2.04,                0.88738,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     10,                0.79321,                 2.3799,                 0.8676,                0.41976,                0.50341,                0.45987,                 0.3518,                 0.9328,                 1.9625,                0.88511,              8.814e-05,              8.814e-05,              8.814e-05
                     11,                0.76315,                 2.2118,                 0.8636,                0.47464,                0.49365,                 0.4938,                0.37581,                0.92347,                 1.8811,                0.88567,             8.5502e-05,             8.5502e-05,             8.5502e-05
                     12,                0.73771,                 2.1199,                 0.8593,                 0.4982,                0.51938,                0.52136,                0.39639,                0.91286,                 1.8097,                0.88489,             8.2648e-05,             8.2648e-05,             8.2648e-05
                     13,                0.71155,                 1.9962,                0.85479,                0.59369,                0.49633,                0.54671,                  0.418,                0.90466,                 1.7426,                0.88357,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     14,                0.69216,                 1.8968,                0.85182,                0.64189,                0.55071,                0.58525,                0.44368,                 0.9007,                 1.6908,                0.88206,             7.6364e-05,             7.6364e-05,             7.6364e-05
                     15,                0.67239,                 1.8193,                0.84746,                0.69507,                 0.5417,                0.61162,                0.46346,                0.89811,                 1.6507,                0.88241,             7.2973e-05,             7.2973e-05,             7.2973e-05
