                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1787,                 4.8457,                 2.1827,                0.00239,                0.05458,                0.00137,                0.00037,                 4.2454,                  78.02,                 7.2881,               0.067457,             3.2576e-05,             3.2576e-05
                      2,                 1.6868,                 3.0629,                 1.6601,                0.07465,                0.24448,                0.08443,                0.03962,                 2.0692,                 5.1901,                 2.1049,               0.034157,             6.5809e-05,             6.5809e-05
                      3,                 1.5168,                 2.6114,                  1.471,                0.06252,                0.40967,                0.11437,                0.04804,                  2.344,                 4.5394,                 2.3921,             0.00085621,             9.8638e-05,             9.8638e-05
                      4,                  1.412,                 2.2223,                 1.3874,                0.14827,                0.51172,                0.18757,                0.10049,                 1.8643,                 16.029,                 1.8966,             9.8632e-05,             9.8632e-05,             9.8632e-05
                      5,                 1.3595,                 2.0005,                 1.3417,                0.48421,                0.26887,                0.23792,                0.11171,                 2.0417,                   5.74,                  2.029,             9.7577e-05,             9.7577e-05,             9.7577e-05
                      6,                 1.2234,                 1.7374,                 1.2622,                0.50674,                0.20653,                0.21358,                 0.1113,                 2.1444,                 3.6013,                 2.0717,             9.6232e-05,             9.6232e-05,             9.6232e-05
                      7,                 1.1467,                 1.5819,                 1.2074,                0.42558,                0.46978,                0.44115,                0.26848,                 1.5595,                 2.9837,                  1.521,             9.4605e-05,             9.4605e-05,             9.4605e-05
                      8,                 1.0757,                 1.4524,                 1.1629,                0.37081,                0.49525,                0.38719,                0.24784,                 1.5068,                 34.542,                 1.4664,             9.2706e-05,             9.2706e-05,             9.2706e-05
                      9,                 1.0732,                 1.3656,                   1.16,                0.55018,                0.50887,                0.52154,                 0.3427,                 1.3673,                 2.2036,                 1.3512,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     10,                0.99983,                 1.2234,                  1.114,                0.63183,                0.50602,                0.57738,                0.37392,                 1.4366,                 2.4025,                 1.4039,              8.814e-05,              8.814e-05,              8.814e-05
                     11,                0.97868,                 1.1542,                 1.0968,                0.65476,                0.37165,                0.49317,                0.30144,                 1.4154,                 2.5872,                 1.4071,             8.5502e-05,             8.5502e-05,             8.5502e-05
                     12,                0.93205,                 1.1014,                 1.0737,                0.69569,                0.58086,                0.62414,                 0.4145,                 1.2772,                 2.7377,                 1.3037,             8.2648e-05,             8.2648e-05,             8.2648e-05
                     13,                 0.9011,                 1.0258,                 1.0603,                0.52912,                0.44168,                0.51833,                0.35959,                 1.3318,                 2.9098,                 1.3507,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     14,                0.88325,                0.98106,                 1.0431,                0.63849,                 0.3745,                0.40892,                0.25083,                 1.4568,                 3.6411,                 1.4369,             7.6364e-05,             7.6364e-05,             7.6364e-05
                     15,                0.84599,                0.90618,                 1.0273,                0.67724,                0.48612,                0.58695,                0.38669,                 1.3008,                 4.3571,                 1.3191,             7.2973e-05,             7.2973e-05,             7.2973e-05
                     16,                 0.8337,                 0.8699,                 1.0165,                0.72635,                0.57596,                0.70406,                0.48211,                 1.2021,                 1.9092,                 1.2568,             6.9443e-05,             6.9443e-05,             6.9443e-05
                     17,                0.80749,                0.81944,                 1.0034,                0.74489,                0.55427,                 0.6787,                0.46545,                 1.2352,                 1.7794,                 1.2965,             6.5796e-05,             6.5796e-05,             6.5796e-05
                     18,                0.77578,                0.80081,                 0.9881,                0.68768,                0.54941,                0.62992,                0.44862,                 1.2177,                 1.9882,                 1.2427,             6.2056e-05,             6.2056e-05,             6.2056e-05
                     19,                0.73683,                0.75983,                0.97395,                0.66118,                0.57687,                0.67883,                0.48201,                 1.1706,                 2.1714,                 1.2232,             5.8244e-05,             5.8244e-05,             5.8244e-05
                     20,                0.72624,                0.72411,                0.97124,                0.61683,                0.54524,                0.61795,                0.42265,                 1.1993,                 1.8653,                 1.2585,             5.4384e-05,             5.4384e-05,             5.4384e-05
