                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2833,                 5.5488,                 1.0495,                0.00154,                0.14706,                0.00808,                0.00599,                 1.0659,                  4.803,                0.94751,               0.067457,             3.2576e-05,             3.2576e-05
                      2,                 1.1535,                 5.3415,                0.98864,                 0.0016,                0.17663,                0.00748,                0.00486,                 1.0468,                 4.6855,                0.93881,               0.034157,             6.5809e-05,             6.5809e-05
                      3,                 1.0768,                 5.1042,                 0.9505,                 0.0061,                0.43018,                0.05863,                0.03779,                 1.0327,                 4.4169,                0.92641,             0.00085621,             9.8638e-05,             9.8638e-05
                      4,                 1.0216,                 4.7706,                0.92765,                0.55977,                0.07288,                0.11333,                0.07402,                  1.025,                 3.7931,                0.91604,             9.8632e-05,             9.8632e-05,             9.8632e-05
                      5,                 1.0053,                 4.3034,                0.91765,                0.54636,                0.22122,                0.12628,                0.08448,                 1.0233,                 3.2736,                0.91465,             9.7577e-05,             9.7577e-05,             9.7577e-05
                      6,                0.96894,                 3.8819,                0.91097,                0.55971,                0.21692,                0.14746,                 0.1024,                0.99728,                 3.0182,                0.91076,             9.6232e-05,             9.6232e-05,             9.6232e-05
                      7,                 0.9415,                 3.6142,                0.90638,                0.44777,                0.30167,                0.19475,                0.14008,                0.98143,                 2.8232,                0.91039,             9.4605e-05,             9.4605e-05,             9.4605e-05
                      8,                0.90831,                 3.3876,                0.90087,                0.33542,                0.31546,                0.23632,                0.17029,                 0.9726,                 2.6798,                0.90794,             9.2706e-05,             9.2706e-05,             9.2706e-05
                      9,                0.89107,                 3.2377,                0.89652,                0.41217,                0.31772,                0.26963,                0.19601,                0.96183,                 2.5177,                0.90489,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     10,                0.87307,                 3.0554,                0.89218,                0.43375,                 0.3257,                0.29424,                0.21729,                0.95199,                  2.399,                 0.9025,              8.814e-05,              8.814e-05,              8.814e-05
                     11,                0.85807,                 2.8954,                 0.8895,                0.57606,                0.37976,                0.31861,                0.23769,                0.94097,                 2.3151,                0.89955,             8.5502e-05,             8.5502e-05,             8.5502e-05
                     12,                 0.8341,                 2.8184,                0.88406,                 0.6135,                0.38688,                0.34067,                 0.2541,                0.93009,                 2.2528,                0.89705,             8.2648e-05,             8.2648e-05,             8.2648e-05
                     13,                0.81945,                 2.7315,                0.88026,                0.49393,                0.38281,                0.36164,                0.27077,                0.92686,                 2.1814,                0.89693,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     14,                0.81086,                 2.6427,                0.87901,                0.50149,                0.38947,                0.37616,                 0.2821,                0.92571,                 2.1314,                 0.8956,             7.6364e-05,             7.6364e-05,             7.6364e-05
                     15,                0.79096,                 2.5802,                0.87423,                0.34999,                0.41175,                0.39177,                0.29424,                0.91966,                 2.0863,                0.89518,             7.2973e-05,             7.2973e-05,             7.2973e-05
                     16,                0.77755,                 2.5347,                 0.8707,                0.34572,                0.49737,                0.40514,                  0.306,                0.91763,                 2.0399,                0.89527,             6.9443e-05,             6.9443e-05,             6.9443e-05
                     17,                0.77297,                 2.4654,                0.87173,                0.37845,                0.48972,                0.42162,                0.31827,                0.91552,                 2.0071,                0.89432,             6.5796e-05,             6.5796e-05,             6.5796e-05
                     18,                0.75859,                 2.3746,                0.86902,                 0.4479,                0.47565,                0.44231,                0.33406,                0.91297,                 1.9687,                0.89369,             6.2056e-05,             6.2056e-05,             6.2056e-05
                     19,                 0.7509,                 2.3612,                0.86773,                0.41439,                0.53299,                0.46032,                0.34988,                0.91419,                 1.9402,                  0.894,             5.8244e-05,             5.8244e-05,             5.8244e-05
                     20,                0.74427,                 2.3193,                0.86486,                0.46644,                0.52713,                0.47277,                0.36028,                0.91163,                  1.917,                0.89232,             5.4384e-05,             5.4384e-05,             5.4384e-05
                     21,                0.73693,                 2.2693,                0.86336,                0.48665,                0.52621,                0.48555,                0.36982,                0.91137,                 1.8982,                0.89304,               5.05e-05,               5.05e-05,               5.05e-05
                     22,                0.73076,                 2.2391,                0.86407,                0.48777,                0.53591,                0.49386,                 0.3763,                0.91083,                 1.8733,                 0.8926,             4.6616e-05,             4.6616e-05,             4.6616e-05
                     23,                0.72009,                 2.2068,                0.86075,                0.52392,                 0.5397,                0.50353,                0.38403,                0.90591,                 1.8555,                0.89067,             4.2756e-05,             4.2756e-05,             4.2756e-05
                     24,                0.71761,                 2.2442,                0.85894,                0.52847,                0.54362,                0.51418,                  0.392,                 0.9062,                 1.8434,                0.89063,             3.8944e-05,             3.8944e-05,             3.8944e-05
                     25,                0.71411,                   2.19,                0.85921,                0.54051,                 0.5431,                0.52047,                0.39766,                 0.9062,                 1.8317,                0.89017,             3.5204e-05,             3.5204e-05,             3.5204e-05
                     26,                0.70107,                 2.1412,                0.85779,                0.55629,                0.53788,                0.52626,                0.40193,                 0.9049,                 1.8198,                0.89106,             3.1557e-05,             3.1557e-05,             3.1557e-05
                     27,                0.70421,                 2.1524,                0.85817,                0.55685,                0.54783,                0.53009,                0.40554,                0.90499,                  1.811,                0.89053,             2.8027e-05,             2.8027e-05,             2.8027e-05
                     28,                0.69683,                 2.1404,                0.85778,                0.56237,                 0.5489,                0.53422,                0.40951,                0.90228,                 1.8063,                0.88975,             2.4636e-05,             2.4636e-05,             2.4636e-05
                     29,                0.69434,                 2.1037,                0.85614,                0.59221,                0.53467,                 0.5407,                0.41482,                0.90307,                 1.7951,                0.89008,             2.1405e-05,             2.1405e-05,             2.1405e-05
                     30,                0.69328,                  2.133,                 0.8551,                0.59151,                0.54403,                0.54179,                0.41499,                0.90331,                 1.7917,                0.88981,             1.8352e-05,             1.8352e-05,             1.8352e-05
                     31,                0.69552,                 2.0903,                0.85766,                 0.5959,                0.54671,                0.54561,                0.41828,                0.90315,                 1.7828,                0.89026,             1.5498e-05,             1.5498e-05,             1.5498e-05
                     32,                 0.6875,                 2.0572,                0.85525,                0.59448,                0.54696,                0.54865,                0.42038,                0.90214,                 1.7806,                 0.8896,              1.286e-05,              1.286e-05,              1.286e-05
                     33,                0.69472,                 2.1032,                 0.8564,                0.60292,                0.53782,                0.55035,                  0.422,                 0.9019,                 1.7762,                0.88972,             1.0454e-05,             1.0454e-05,             1.0454e-05
                     34,                0.68122,                 2.0411,                0.85518,                0.59291,                0.55469,                0.55139,                0.42285,                 0.9023,                 1.7715,                0.88961,             8.2943e-06,             8.2943e-06,             8.2943e-06
                     35,                0.68527,                 2.0597,                0.85384,                0.59488,                0.55464,                0.55162,                0.42317,                0.90149,                 1.7692,                0.88943,             6.3952e-06,             6.3952e-06,             6.3952e-06
                     36,                0.68533,                 2.0713,                0.85451,                0.59889,                 0.5507,                 0.5532,                0.42357,                0.90139,                 1.7695,                0.88937,              4.768e-06,              4.768e-06,              4.768e-06
                     37,                0.68244,                 2.0804,                0.85275,                0.60096,                0.55252,                0.55306,                0.42422,                0.90109,                  1.768,                0.88919,             3.4227e-06,             3.4227e-06,             3.4227e-06
                     38,                0.68258,                 2.0431,                0.85414,                0.60264,                0.55163,                0.55404,                0.42458,                0.90129,                  1.766,                0.88939,             2.3677e-06,             2.3677e-06,             2.3677e-06
                     39,                0.68041,                 2.0785,                0.85384,                0.60019,                0.55303,                0.55374,                 0.4245,                0.90013,                 1.7654,                0.88927,             1.6094e-06,             1.6094e-06,             1.6094e-06
                     40,                0.67734,                  2.051,                0.85395,                0.60181,                0.55034,                  0.555,                0.42561,                0.90074,                 1.7645,                0.88912,             1.1526e-06,             1.1526e-06,             1.1526e-06
