                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57146,                0.71614,                0.86029,                0.57333,                0.33983,                0.47736,                0.38296,                 1.0829,                 3.8909,                 1.1184,               0.067694,             0.00033267,             0.00033267
                      2,                0.34999,                  0.293,                0.79482,                0.95916,                0.92898,                0.97364,                0.88146,                0.40495,                0.42165,                0.80497,               0.034699,             0.00067139,             0.00067139
                      3,                0.32048,                0.28046,                 0.7934,                0.96702,                 0.9484,                0.98076,                0.90432,                0.37336,                 0.3366,                0.80236,              0.0017004,               0.001006,               0.001006
                      4,                0.30605,                0.26027,                0.79582,                0.97778,                0.94998,                0.98089,                0.90985,                0.36949,                0.32746,                0.80145,              0.0010053,              0.0010053,              0.0010053
                      5,                0.29208,                0.24333,                0.79078,                0.97734,                0.92867,                0.97738,                0.90574,                0.36924,                0.31745,                0.79989,             0.00099454,             0.00099454,             0.00099454
                      6,                0.27379,                0.23143,                0.79027,                0.96391,                0.94469,                0.98067,                0.91023,                0.36335,                0.31292,                0.79934,             0.00098083,             0.00098083,             0.00098083
                      7,                0.26164,                0.22345,                0.78959,                0.96668,                0.93779,                0.97111,                0.90063,                0.37229,                0.31517,                 0.8019,             0.00096424,             0.00096424,             0.00096424
                      8,                0.26451,                 0.2219,                0.78949,                0.98055,                0.94711,                 0.9844,                0.90733,                0.37355,                0.31188,                0.80292,             0.00094489,             0.00094489,             0.00094489
                      9,                0.25218,                0.21344,                0.78502,                0.97477,                0.92648,                0.97889,                0.90407,                0.37496,                0.32344,                0.80173,             0.00092288,             0.00092288,             0.00092288
                     10,                0.24222,                 0.2049,                0.78524,                0.97139,                0.93326,                0.98157,                0.90073,                0.38223,                 0.3105,                0.80276,             0.00089835,             0.00089835,             0.00089835
                     11,                0.24436,                0.20378,                 0.7846,                0.97089,                0.93919,                0.98228,                0.90886,                0.37773,                0.30472,                0.80085,             0.00087146,             0.00087146,             0.00087146
                     12,                0.22878,                0.19415,                0.78168,                0.98329,                 0.9281,                0.98281,                0.90135,                0.37669,                0.29892,                 0.8013,             0.00084237,             0.00084237,             0.00084237
                     13,                 0.2211,                0.18673,                0.78677,                0.97183,                0.95048,                0.98289,                0.90174,                0.38038,                0.30088,                0.80224,             0.00081126,             0.00081126,             0.00081126
                     14,                0.21675,                0.18693,                 0.7831,                0.97085,                0.93446,                0.98153,                0.90231,                0.38114,                0.31062,                0.80212,             0.00077832,             0.00077832,             0.00077832
                     15,                0.21542,                0.18705,                0.78336,                0.97452,                0.93449,                0.98232,                0.90434,                0.37744,                0.30023,                0.80332,             0.00074376,             0.00074376,             0.00074376
                     16,                0.20367,                 0.1751,                0.78325,                0.96654,                0.93636,                0.98074,                0.89996,                0.38087,                0.30884,                0.80401,             0.00070778,             0.00070778,             0.00070778
                     17,                0.20231,                0.17405,                0.78226,                0.98608,                0.93507,                0.98195,                0.90753,                0.38079,                0.29893,                0.80243,             0.00067062,             0.00067062,             0.00067062
                     18,                0.19469,                0.16908,                0.78398,                0.98024,                0.93867,                0.98212,                0.90492,                0.38074,                0.30107,                0.80268,             0.00063249,             0.00063249,             0.00063249
                     19,                0.18917,                0.16563,                0.78111,                0.96978,                0.95421,                0.98135,                0.90565,                0.38278,                0.30482,                0.80261,             0.00059364,             0.00059364,             0.00059364
                     20,                 0.1858,                0.16516,                 0.7822,                0.96787,                0.94417,                0.98271,                0.90363,                 0.3807,                 0.3034,                0.80292,              0.0005543,              0.0005543,              0.0005543
                     21,                0.17744,                0.15726,                0.77726,                0.98547,                0.92913,                0.98129,                0.89709,                0.38448,                0.30065,                0.80363,             0.00051471,             0.00051471,             0.00051471
                     22,                0.17542,                0.15498,                0.77859,                0.98168,                0.94028,                0.98265,                 0.9046,                0.38182,                0.29785,                0.80337,             0.00047513,             0.00047513,             0.00047513
                     23,                0.16609,                0.15025,                0.77751,                0.97188,                0.93893,                0.98139,                0.90251,                0.38259,                0.30238,                0.80314,             0.00043579,             0.00043579,             0.00043579
                     24,                0.16109,                0.14783,                0.78074,                0.98601,                0.93117,                0.98102,                0.90199,                 0.3839,                0.29853,                0.80357,             0.00039694,             0.00039694,             0.00039694
                     25,                0.15687,                0.14167,                0.78045,                0.96326,                0.94959,                0.98178,                0.90396,                0.37599,                0.29875,                0.80329,             0.00035881,             0.00035881,             0.00035881
                     26,                0.15238,                0.13736,                0.78201,                0.97545,                0.93656,                0.98159,                0.90402,                0.38303,                0.30216,                 0.8036,             0.00032164,             0.00032164,             0.00032164
                     27,                0.14777,                0.13387,                0.77893,                0.97156,                0.93843,                0.98221,                 0.9015,                0.37796,                0.29869,                0.80302,             0.00028567,             0.00028567,             0.00028567
                     28,                0.14253,                0.13251,                0.77787,                0.97419,                0.93437,                0.98106,                0.90246,                0.37756,                0.29441,                0.80329,              0.0002511,              0.0002511,              0.0002511
                     29,                0.14145,                 0.1319,                 0.7785,                0.97283,                0.93377,                0.98241,                0.90431,                0.37916,                0.29644,                0.80312,             0.00021816,             0.00021816,             0.00021816
                     30,                0.13673,                0.12526,                0.77604,                0.98359,                0.93024,                0.98323,                0.90454,                0.37958,                  0.293,                0.80364,             0.00018705,             0.00018705,             0.00018705
                     31,                0.13503,                0.12959,                0.77766,                0.97842,                0.93505,                0.98302,                 0.9047,                 0.3788,                0.29364,                 0.8034,             0.00015796,             0.00015796,             0.00015796
                     32,                0.12922,                0.12205,                0.77846,                0.97965,                0.92893,                  0.982,                 0.9053,                0.38043,                0.29732,                0.80323,             0.00013107,             0.00013107,             0.00013107
                     33,                0.12705,                0.12139,                0.77726,                0.97404,                0.93416,                0.98192,                 0.9036,                0.37904,                0.29248,                0.80333,             0.00010655,             0.00010655,             0.00010655
                     34,                0.12472,                0.11792,                0.77532,                0.97265,                0.93573,                0.98166,                0.90547,                0.37755,                0.29532,                0.80305,             8.4538e-05,             8.4538e-05,             8.4538e-05
                     35,                0.13542,                0.12083,                0.77911,                0.97521,                0.93193,                0.98169,                0.90559,                0.37858,                0.29476,                0.80281,             6.5182e-05,             6.5182e-05,             6.5182e-05
                     36,                0.11891,                0.11459,                0.77528,                0.98337,                0.93138,                0.98179,                0.90226,                0.37912,                0.29483,                0.80322,             4.8597e-05,             4.8597e-05,             4.8597e-05
                     37,                0.11924,                0.11487,                0.77572,                0.98418,                0.93065,                0.98183,                0.90373,                0.37888,                0.29462,                 0.8031,             3.4885e-05,             3.4885e-05,             3.4885e-05
                     38,                0.11875,                0.11317,                0.77662,                0.98285,                0.93171,                0.98194,                 0.9031,                0.37717,                0.29495,                0.80296,             2.4132e-05,             2.4132e-05,             2.4132e-05
                     39,                0.11896,                0.11426,                0.77635,                0.98035,                0.93184,                0.98208,                 0.9053,                0.37868,                0.29429,                0.80316,             1.6404e-05,             1.6404e-05,             1.6404e-05
                     40,                0.11683,                0.11371,                0.77747,                0.97976,                0.93225,                0.98169,                0.90466,                0.37757,                0.29277,                0.80311,             1.1748e-05,             1.1748e-05,             1.1748e-05
