                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2029,                 1.4355,                 1.0609,                0.75611,                0.54872,                 0.6789,                0.48093,                 1.1242,                 1.8197,                 1.0541,               0.067395,             0.00033575,             0.00033575
                      2,                 0.9506,                0.69016,                 0.9381,                0.89275,                0.88728,                0.93573,                0.70586,                0.87242,                0.68612,                 0.9201,                 0.0344,             0.00067446,             0.00067446
                      3,                0.92693,                0.64795,                0.93451,                0.90134,                0.89733,                0.94826,                0.72298,                0.86765,                0.63033,                0.91757,              0.0014012,               0.001009,               0.001009
                      4,                0.89508,                0.61938,                0.92601,                0.91795,                 0.8741,                0.93694,                0.71159,                0.85326,                0.63655,                0.91587,              0.0010053,              0.0010053,              0.0010053
                      5,                0.90241,                0.60134,                0.92254,                0.93559,                0.87455,                0.95209,                0.72691,                0.85961,                0.63473,                0.92026,             0.00099454,             0.00099454,             0.00099454
                      6,                0.87559,                0.60814,                0.92025,                0.94014,                0.89344,                0.95311,                0.72803,                0.84819,                0.60592,                0.91219,             0.00098083,             0.00098083,             0.00098083
                      7,                0.86811,                0.58555,                0.91223,                0.94608,                0.88475,                0.95038,                0.73225,                0.83298,                0.63967,                 0.9072,             0.00096424,             0.00096424,             0.00096424
                      8,                0.86674,                0.56451,                 0.9147,                0.92745,                0.90794,                0.96034,                0.74062,                0.81292,                 0.6347,                0.90382,             0.00094489,             0.00094489,             0.00094489
                      9,                0.86402,                0.56868,                0.90998,                0.92956,                0.91899,                 0.9559,                0.73428,                 0.8303,                 0.5626,                0.90752,             0.00092288,             0.00092288,             0.00092288
                     10,                0.85367,                  0.543,                0.90525,                0.92443,                0.90539,                0.95257,                0.73621,                0.85286,                0.58024,                0.91048,             0.00089835,             0.00089835,             0.00089835
                     11,                0.84211,                0.52397,                0.90385,                0.93069,                 0.9156,                0.95976,                0.74682,                0.82045,                0.53782,                0.90437,             0.00087146,             0.00087146,             0.00087146
                     12,                0.83355,                0.53515,                0.90259,                0.94093,                0.92258,                0.96239,                0.74589,                0.78183,                0.55087,                0.89192,             0.00084237,             0.00084237,             0.00084237
                     13,                 0.8244,                0.51634,                0.89776,                0.94781,                0.91628,                0.96451,                0.74414,                0.80264,                0.55138,                 0.8969,             0.00081126,             0.00081126,             0.00081126
                     14,                0.81938,                0.51339,                0.90326,                0.93977,                0.92573,                0.96367,                0.75853,                0.79181,                0.51097,                0.89656,             0.00077832,             0.00077832,             0.00077832
                     15,                0.81866,                0.49992,                0.89631,                0.94205,                0.90143,                 0.9618,                0.75602,                0.78673,                0.51914,                 0.8933,             0.00074376,             0.00074376,             0.00074376
                     16,                0.82101,                 0.4949,                0.89766,                0.95174,                0.90277,                0.96253,                0.75482,                0.79366,                0.51675,                0.89173,             0.00070778,             0.00070778,             0.00070778
                     17,                0.80517,                0.49069,                0.89378,                0.94017,                0.92072,                0.95995,                0.75629,                0.79204,                0.53804,                0.89182,             0.00067062,             0.00067062,             0.00067062
                     18,                0.79677,                0.49241,                0.89202,                 0.9328,                0.92832,                0.96487,                0.74635,                0.79995,                  0.524,                 0.8936,             0.00063249,             0.00063249,             0.00063249
                     19,                0.79139,                 0.4728,                0.88611,                 0.9458,                0.92316,                0.96436,                0.75845,                0.78135,                0.52034,                0.89063,             0.00059364,             0.00059364,             0.00059364
                     20,                0.78149,                0.46136,                0.88498,                0.95129,                0.91696,                0.96602,                0.75886,                0.77724,                0.50318,                0.88983,              0.0005543,              0.0005543,              0.0005543
                     21,                0.76676,                0.45844,                0.88338,                 0.9369,                0.93382,                0.96574,                 0.7617,                0.75264,                0.50483,                0.88407,             0.00051471,             0.00051471,             0.00051471
