                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5943,                 6.2753,                 1.0398,                      0,                      0,                      0,                      0,                  1.145,                 5.5295,                 0.8622,                2.5e-06,                2.5e-06,                2.5e-06
                      2,                 1.3733,                 6.2396,                 1.0889,                      0,                      0,                      0,                      0,                 1.1591,                 5.5273,                0.86522,              7.401e-06,              7.401e-06,              7.401e-06
                      3,                 1.5999,                 6.3187,                 1.1609,                      0,                      0,                      0,                      0,                 1.1378,                 5.5376,                0.86667,              1.217e-05,              1.217e-05,              1.217e-05
                      4,                 1.3094,                 6.0079,                 1.0596,                      0,                      0,                      0,                      0,                 1.1027,                 5.5354,                0.85949,             1.6807e-05,             1.6807e-05,             1.6807e-05
                      5,                 1.2646,                 5.9008,                0.99612,                      0,                      0,                      0,                      0,                 1.0537,                 5.5278,                0.85072,             2.1312e-05,             2.1312e-05,             2.1312e-05
                      6,                 1.4167,                 5.9085,                 1.0918,                      0,                      0,                      0,                      0,                 0.9975,                 5.5243,                0.84167,             2.5685e-05,             2.5685e-05,             2.5685e-05
                      7,                 1.1298,                 5.5775,                0.97307,                      0,                      0,                      0,                      0,                 0.9571,                 5.5246,                 0.8355,             2.9926e-05,             2.9926e-05,             2.9926e-05
                      8,                 1.2549,                 5.6242,                 0.9496,                      0,                      0,                      0,                      0,                0.92387,                 5.5327,                0.83328,             3.4035e-05,             3.4035e-05,             3.4035e-05
                      9,                 1.2484,                 5.4488,                0.91901,                      0,                      0,                      0,                      0,                0.92972,                 5.5288,                0.83474,             3.8012e-05,             3.8012e-05,             3.8012e-05
                     10,                 1.2211,                 6.7887,                 0.8201,                      0,                      0,                      0,                      0,                0.93375,                 5.5197,                0.83333,             4.1857e-05,             4.1857e-05,             4.1857e-05
                     11,                 1.0774,                 6.7468,                  1.002,                      0,                      0,                      0,                      0,                0.93578,                 5.5088,                0.83286,              4.557e-05,              4.557e-05,              4.557e-05
                     12,                 1.1106,                 5.1449,                0.92232,                      0,                      0,                      0,                      0,                 0.9362,                 5.5051,                0.83445,             4.9151e-05,             4.9151e-05,             4.9151e-05
                     13,                 1.2892,                 5.3006,                0.95698,                      0,                      0,                      0,                      0,                0.93625,                  5.501,                0.83435,               5.26e-05,               5.26e-05,               5.26e-05
                     14,                 1.0528,                 5.0812,                 0.9323,                      0,                      0,                      0,                      0,                0.92788,                 5.4968,                0.83183,             5.5917e-05,             5.5917e-05,             5.5917e-05
                     15,                 1.2765,                 5.0191,                 0.9408,                      0,                      0,                      0,                      0,                0.91951,                  5.493,                0.82917,             5.9102e-05,             5.9102e-05,             5.9102e-05
                     16,                0.81704,                 5.3821,                0.79941,                      0,                      0,                      0,                      0,                0.92579,                 5.4857,                0.82973,             6.2155e-05,             6.2155e-05,             6.2155e-05
                     17,                 1.1827,                 5.6432,                0.92603,                      0,                      0,                      0,                      0,                0.93708,                 5.4699,                0.83186,             6.5076e-05,             6.5076e-05,             6.5076e-05
                     18,                 1.0774,                 4.8412,                 1.0076,                      0,                      0,                      0,                      0,                0.93574,                 5.4583,                0.84434,             6.7865e-05,             6.7865e-05,             6.7865e-05
                     19,                 1.2405,                 4.6092,                0.89902,                      0,                      0,                      0,                      0,                0.94211,                 5.4282,                0.84803,             7.0522e-05,             7.0522e-05,             7.0522e-05
                     20,                  1.135,                 3.7575,                0.86479,                      0,                      0,                      0,                      0,                 0.9658,                 5.3834,                0.85823,             7.3047e-05,             7.3047e-05,             7.3047e-05
                     21,                 1.0736,                 4.3989,                0.93514,                      0,                      0,                      0,                      0,                0.97511,                 5.3338,                0.86564,              7.544e-05,              7.544e-05,              7.544e-05
                     22,                0.89872,                 4.0398,                0.87019,                    0.5,                0.16667,                0.33333,                0.29999,                0.96209,                 5.2619,                0.87425,             7.7701e-05,             7.7701e-05,             7.7701e-05
                     23,                 1.1206,                 3.7907,                0.92522,                    0.5,                0.16667,                0.33333,                0.29999,                0.92261,                 5.1868,                0.87601,              7.983e-05,              7.983e-05,              7.983e-05
                     24,                 1.1051,                 3.7906,                0.96623,                    0.5,                0.16667,                0.33333,                0.29999,                0.92261,                 5.1868,                0.87601,             8.1827e-05,             8.1827e-05,             8.1827e-05
                     25,                  1.118,                 3.1325,                0.90707,                    0.5,                    0.5,                 0.4975,                 0.3928,                0.91264,                  5.067,                0.86655,             8.3692e-05,             8.3692e-05,             8.3692e-05
                     26,                0.99449,                 2.8508,                0.81204,                    0.5,                    0.5,                 0.4975,                0.40939,                0.92351,                 4.8853,                0.86776,             8.5425e-05,             8.5425e-05,             8.5425e-05
                     27,                0.82639,                 2.5215,                0.80959,                    0.5,                    0.5,                 0.4975,                0.40939,                0.92351,                 4.8853,                0.86776,             8.7026e-05,             8.7026e-05,             8.7026e-05
                     28,                0.83085,                 2.9985,                0.83124,                    0.5,                    0.5,                 0.4975,                0.40389,                0.87732,                 4.7567,                 0.8694,             8.8495e-05,             8.8495e-05,             8.8495e-05
                     29,                 1.0081,                 2.1276,                0.88687,                    0.3,                    0.5,                 0.4975,                0.41807,                 0.8712,                 4.6407,                0.87485,             8.9832e-05,             8.9832e-05,             8.9832e-05
                     30,                 1.0378,                 2.7399,                0.93893,                    0.3,                    0.5,                 0.4975,                0.41807,                 0.8712,                 4.6407,                0.87485,             9.1037e-05,             9.1037e-05,             9.1037e-05
                     31,                0.93788,                  2.626,                0.84561,                    0.3,                    0.5,                 0.4975,                0.39943,                0.89215,                 4.5359,                0.87548,              9.211e-05,              9.211e-05,              9.211e-05
                     32,                0.79113,                 2.2706,                 0.8864,                    0.3,                    0.5,                 0.4975,                0.39943,                0.86879,                 4.3942,                0.88123,             9.3051e-05,             9.3051e-05,             9.3051e-05
                     33,                  1.338,                  3.039,                0.99111,                    0.3,                    0.5,                 0.4975,                0.39943,                0.86879,                 4.3942,                0.88123,              9.386e-05,              9.386e-05,              9.386e-05
                     34,                0.94878,                 2.5232,                0.92259,                    0.3,                    0.5,                 0.4975,                 0.4195,                0.84649,                 4.2684,                0.87598,             9.4537e-05,             9.4537e-05,             9.4537e-05
                     35,                 1.0027,                  2.212,                 0.9947,                    0.3,                    0.5,                 0.4975,                 0.4195,                0.80201,                 4.1412,                0.87278,             9.5082e-05,             9.5082e-05,             9.5082e-05
                     36,                 1.0289,                 2.4972,                0.90787,                    0.3,                    0.5,                 0.4975,                 0.4195,                0.80201,                 4.1412,                0.87278,             9.5495e-05,             9.5495e-05,             9.5495e-05
                     37,                0.86955,                 1.7202,                0.88491,                    0.3,                    0.5,                 0.4975,                 0.4195,                0.80695,                 4.0332,                0.87833,             9.5776e-05,             9.5776e-05,             9.5776e-05
                     38,                0.90737,                 1.9907,                0.94637,                   0.55,                      1,                0.74625,                0.64194,                0.83073,                 3.8972,                0.89372,             9.5925e-05,             9.5925e-05,             9.5925e-05
                     39,                0.98043,                 2.0917,                 0.8575,                   0.55,                      1,                0.74625,                0.64194,                0.83073,                 3.8972,                0.89372,             9.5942e-05,             9.5942e-05,             9.5942e-05
                     40,                 0.7483,                 2.0537,                0.86474,                0.46667,                      1,                0.74625,                0.61707,                0.85363,                 3.7586,                0.90248,             9.5827e-05,             9.5827e-05,             9.5827e-05
                     41,                0.90911,                 1.8672,                0.96564,                0.46667,                      1,                0.74625,                0.61707,                0.85363,                 3.7586,                0.90248,              9.558e-05,              9.558e-05,              9.558e-05
                     42,                0.99188,                 1.9109,                0.84697,                0.54167,                      1,                0.74625,                 0.6001,                0.86699,                 3.6517,                0.90372,             9.5201e-05,             9.5201e-05,             9.5201e-05
                     43,                0.73995,                 1.8496,                 0.8871,                0.54167,                      1,                0.74625,                 0.6001,                0.86699,                 3.6517,                0.90372,              9.469e-05,              9.469e-05,              9.469e-05
                     44,                 1.0758,                  2.111,                0.93922,                0.46667,                      1,                  0.995,                0.79743,                0.88484,                  3.522,                0.90723,             9.4047e-05,             9.4047e-05,             9.4047e-05
