                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0244,                 2.8574,                0.91204,                0.87078,                0.07158,                0.47213,                0.36359,                0.91258,                 2.9224,                0.86858,             0.00027406,             0.00027406,             0.00027406
                      2,                0.86512,                 1.3535,                0.87201,                0.78506,                0.62777,                0.68886,                0.51798,                0.91047,                 1.2473,                0.87801,             0.00054627,             0.00054627,             0.00054627
                      3,                0.80997,                 1.0731,                0.86214,                0.84577,                0.65508,                 0.7387,                0.56051,                 0.8688,                0.96057,                0.88007,             0.00081297,             0.00081297,             0.00081297
                      4,                0.76859,                0.92238,                0.85431,                0.92671,                0.72391,                0.79866,                 0.6147,                0.84761,                0.78498,                0.87841,             0.00080826,             0.00080826,             0.00080826
                      5,                0.70928,                0.79153,                0.84253,                0.89561,                0.70719,                0.78469,                0.60557,                0.84086,                0.78805,                0.87294,             0.00080001,             0.00080001,             0.00080001
                      6,                0.68159,                0.70044,                0.83535,                0.91819,                0.73981,                0.79728,                 0.6158,                0.82418,                0.69203,                0.86747,             0.00079177,             0.00079177,             0.00079177
                      7,                0.63355,                0.63415,                 0.8279,                0.94526,                0.74433,                0.80932,                0.62874,                0.82381,                0.70136,                0.86407,             0.00078352,             0.00078352,             0.00078352
                      8,                0.62027,                0.58269,                0.82321,                0.81426,                0.76606,                0.82081,                0.63728,                0.81737,                0.65595,                0.86676,             0.00077527,             0.00077527,             0.00077527
                      9,                 0.5722,                0.52225,                0.81588,                 0.8273,                0.76538,                0.82954,                0.64506,                0.81512,                0.61596,                0.86664,             0.00076703,             0.00076703,             0.00076703
                     10,                0.55331,                0.48383,                0.81268,                0.82121,                0.76522,                 0.8258,                0.64512,                 0.8117,                0.61587,                0.86538,             0.00075878,             0.00075878,             0.00075878
                     11,                0.51268,                0.44453,                0.80696,                0.82106,                0.76149,                0.82672,                 0.6514,                0.81192,                0.62894,                0.86669,             0.00075053,             0.00075053,             0.00075053
                     12,                0.49475,                0.42809,                0.80503,                0.80958,                0.78213,                0.82746,                0.64034,                0.81845,                0.60561,                0.87007,             0.00074229,             0.00074229,             0.00074229
                     13,                0.47973,                 0.4137,                 0.8017,                0.82591,                0.76548,                 0.8192,                0.64224,                0.81598,                0.62201,                 0.8678,             0.00073404,             0.00073404,             0.00073404
                     14,                0.45381,                0.38983,                0.79797,                0.81515,                0.77813,                0.82814,                 0.6466,                0.81648,                0.62637,                0.86685,             0.00072579,             0.00072579,             0.00072579
                     15,                0.43446,                0.37093,                0.79575,                0.80774,                0.76557,                0.81564,                0.64113,                0.81621,                0.59513,                0.87108,             0.00071755,             0.00071755,             0.00071755
                     16,                0.41691,                0.35363,                0.79334,                0.81167,                0.77215,                0.82252,                0.64065,                0.82263,                0.60101,                 0.8694,              0.0007093,              0.0007093,              0.0007093
                     17,                0.40842,                0.34157,                0.79151,                 0.8152,                0.77182,                0.81743,                 0.6431,                0.81853,                0.59398,                0.86948,             0.00070105,             0.00070105,             0.00070105
                     18,                0.37897,                0.31833,                0.78778,                0.79422,                0.79369,                0.83102,                0.65386,                0.80798,                0.58883,                0.86788,             0.00069281,             0.00069281,             0.00069281
                     19,                0.36398,                0.31052,                0.78577,                0.82284,                0.76809,                0.81951,                0.64555,                0.80815,                0.60308,                0.87149,             0.00068456,             0.00068456,             0.00068456
