                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0226,                 2.7084,                0.91798,                0.73722,                0.32735,                0.55145,                0.40432,                0.94058,                 2.2978,                0.86911,               0.000275,               0.000275,               0.000275
                      2,                0.86091,                 1.3422,                0.87634,                 0.7967,                0.63185,                0.68963,                0.51776,                0.87997,                 1.0767,                 0.8668,             0.00054719,             0.00054719,             0.00054719
                      3,                0.81962,                 1.1235,                0.86825,                0.83192,                0.67021,                0.76083,                0.57464,                0.84979,                 0.9247,                0.87017,             0.00081389,             0.00081389,             0.00081389
                      4,                0.76232,                0.92061,                0.85606,                0.87094,                0.70792,                0.77436,                0.59182,                0.85139,                0.86949,                0.86457,             0.00080826,             0.00080826,             0.00080826
                      5,                0.72666,                0.78541,                0.84997,                0.88409,                0.73132,                0.78409,                0.60549,                0.83656,                0.75301,                0.86444,             0.00080001,             0.00080001,             0.00080001
                      6,                0.68769,                 0.6842,                0.84047,                 0.9116,                0.74115,                0.79351,                0.61614,                0.82447,                 0.7439,                0.86471,             0.00079177,             0.00079177,             0.00079177
                      7,                0.65385,                    0.6,                0.83403,                 0.7776,                0.74486,                0.81027,                0.61877,                0.83586,                0.74141,                0.86388,             0.00078352,             0.00078352,             0.00078352
                      8,                0.62755,                0.54706,                0.82802,                0.78278,                 0.7586,                0.80438,                0.62313,                0.80602,                0.68533,                0.85668,             0.00077527,             0.00077527,             0.00077527
                      9,                0.58652,                 0.4946,                0.82071,                0.78003,                0.72852,                 0.7843,                0.60989,                 0.8164,                0.82363,                0.85892,             0.00076703,             0.00076703,             0.00076703
                     10,                0.56994,                 0.4659,                0.81669,                0.93036,                0.73252,                0.85146,                0.65323,                0.80792,                 0.6946,                0.85951,             0.00075878,             0.00075878,             0.00075878
                     11,                  0.544,                0.43396,                0.81335,                0.92581,                0.75968,                0.83293,                0.65606,                0.79672,                0.64468,                  0.856,             0.00075053,             0.00075053,             0.00075053
                     12,                0.51582,                0.40456,                0.80828,                0.76022,                0.87238,                0.88578,                0.67813,                0.79296,                0.64439,                0.85728,             0.00074229,             0.00074229,             0.00074229
                     13,                0.49059,                0.38481,                0.80487,                0.92146,                0.77887,                0.84488,                0.65644,                0.79855,                0.62223,                0.85486,             0.00073404,             0.00073404,             0.00073404
                     14,                0.46851,                0.36537,                0.80209,                0.74328,                0.85981,                0.88241,                0.68904,                0.80086,                0.65248,                0.85557,             0.00072579,             0.00072579,             0.00072579
                     15,                0.45591,                   0.35,                0.79844,                0.81671,                0.77418,                0.85036,                0.67261,                0.78821,                0.61595,                0.85435,             0.00071755,             0.00071755,             0.00071755
                     16,                0.42963,                0.33205,                0.79574,                0.91893,                0.78335,                0.86619,                0.68268,                0.78956,                0.64514,                0.85931,              0.0007093,              0.0007093,              0.0007093
                     17,                0.42118,                0.32609,                0.79358,                0.94734,                0.77434,                0.85072,                0.67396,                0.78531,                0.57792,                0.85499,             0.00070105,             0.00070105,             0.00070105
                     18,                0.39517,                0.31448,                0.79098,                0.91369,                0.78107,                0.84247,                0.66333,                0.77894,                0.62259,                0.85528,             0.00069281,             0.00069281,             0.00069281
                     19,                 0.3878,                 0.3029,                 0.7892,                0.94472,                0.77836,                0.86666,                0.67464,                0.78423,                0.59086,                0.85834,             0.00068456,             0.00068456,             0.00068456
                     20,                0.37339,                0.28973,                0.78787,                0.93981,                0.77347,                0.86881,                0.68133,                0.78487,                0.60032,                0.85738,             0.00067631,             0.00067631,             0.00067631
                     21,                0.36439,                0.28346,                0.78705,                0.92239,                0.78821,                0.85856,                0.67712,                0.78342,                0.59634,                0.85279,             0.00066807,             0.00066807,             0.00066807
                     22,                0.34805,                0.27376,                0.78515,                0.93191,                  0.775,                0.88498,                0.69702,                0.78118,                0.60991,                0.85561,             0.00065982,             0.00065982,             0.00065982
                     23,                0.33178,                0.26427,                0.78338,                0.92916,                0.77913,                0.88551,                0.69288,                0.78153,                0.61334,                0.85866,             0.00065157,             0.00065157,             0.00065157
                     24,                0.34028,                0.26335,                0.78377,                0.92736,                0.77661,                0.88043,                0.69492,                0.78373,                0.61385,                0.85859,             0.00064333,             0.00064333,             0.00064333
                     25,                0.31978,                0.24921,                0.78203,                0.93603,                0.78808,                 0.8874,                0.70263,                 0.7757,                0.57697,                0.85761,             0.00063508,             0.00063508,             0.00063508
                     26,                0.31352,                0.24469,                 0.7807,                0.94031,                0.76347,                0.84817,                0.67151,                0.77631,                0.58879,                0.85588,             0.00062683,             0.00062683,             0.00062683
                     27,                0.30601,                0.24288,                0.78036,                0.94379,                0.77342,                0.85823,                0.68591,                0.77314,                0.58306,                0.85619,             0.00061859,             0.00061859,             0.00061859
                     28,                0.29724,                0.23543,                0.77882,                0.92675,                0.79182,                0.86532,                0.68309,                0.77234,                 0.6142,                0.85426,             0.00061034,             0.00061034,             0.00061034
                     29,                0.29126,                0.23155,                0.77908,                0.76399,                0.85306,                0.88335,                0.70506,                0.77046,                0.59608,                0.85465,             0.00060209,             0.00060209,             0.00060209
                     30,                0.27743,                 0.2198,                0.77769,                0.94012,                0.77271,                0.84655,                0.67498,                 0.7686,                0.58688,                0.85612,             0.00059385,             0.00059385,             0.00059385
                     31,                0.27301,                0.21565,                0.77668,                0.95438,                 0.7728,                 0.8265,                0.66059,                0.76478,                0.59636,                0.85534,              0.0005856,              0.0005856,              0.0005856
                     32,                0.27575,                0.21621,                0.77696,                0.95004,                0.76625,                0.85405,                0.68412,                0.77688,                0.58373,                0.85608,             0.00057735,             0.00057735,             0.00057735
                     33,                 0.2685,                0.21302,                0.77613,                 0.9355,                0.78681,                 0.8565,                0.68757,                0.76633,                0.58877,                0.85541,             0.00056911,             0.00056911,             0.00056911
                     34,                0.26615,                0.20928,                0.77593,                0.92386,                0.77869,                0.82292,                0.66076,                 0.7683,                0.59452,                0.85456,             0.00056086,             0.00056086,             0.00056086
                     35,                0.25552,                0.20434,                0.77561,                0.93263,                0.77827,                0.84289,                0.67283,                0.76949,                0.61302,                0.85635,             0.00055261,             0.00055261,             0.00055261
                     36,                0.24618,                0.19724,                0.77503,                0.95157,                0.76889,                0.84364,                 0.6802,                0.76074,                0.57672,                0.85625,             0.00054437,             0.00054437,             0.00054437
                     37,                0.24509,                0.19426,                0.77423,                0.93021,                0.76968,                0.81781,                0.65242,                0.76712,                0.60937,                0.85472,             0.00053612,             0.00053612,             0.00053612
                     38,                0.23972,                0.19097,                0.77423,                0.92703,                0.78588,                 0.8679,                0.68613,                0.75936,                0.59608,                0.85624,             0.00052787,             0.00052787,             0.00052787
                     39,                0.23453,                0.18625,                0.77345,                0.93577,                0.76886,                0.81674,                0.65642,                0.76003,                0.60713,                0.85556,             0.00051963,             0.00051963,             0.00051963
                     40,                0.22563,                0.18048,                0.77321,                0.92569,                0.78888,                0.84309,                0.67986,                0.76421,                0.60089,                0.85781,             0.00051138,             0.00051138,             0.00051138
                     41,                 0.2287,                0.18306,                0.77299,                0.93155,                0.78252,                0.82621,                0.66117,                0.76449,                0.59521,                0.85449,             0.00050313,             0.00050313,             0.00050313
                     42,                0.22672,                0.17866,                0.77284,                0.94514,                0.76163,                0.84592,                0.67321,                0.75945,                0.60098,                0.85631,             0.00049489,             0.00049489,             0.00049489
                     43,                0.22232,                0.17702,                0.77221,                0.93305,                0.77673,                0.83962,                0.67834,                0.75574,                0.60618,                0.85467,             0.00048664,             0.00048664,             0.00048664
                     44,                 0.2144,                0.17166,                0.77196,                0.92945,                0.77322,                0.84207,                0.67491,                0.75911,                 0.6125,                0.85461,             0.00047839,             0.00047839,             0.00047839
                     45,                0.21305,                0.16981,                0.77173,                0.92937,                0.76917,                0.81719,                0.65514,                0.76249,                0.61245,                 0.8562,             0.00047015,             0.00047015,             0.00047015
                     46,                 0.2072,                0.16616,                 0.7712,                 0.9307,                0.77291,                0.86223,                0.68008,                 0.7643,                0.60187,                0.85765,              0.0004619,              0.0004619,              0.0004619
                     47,                 0.2029,                0.16236,                 0.7712,                0.93884,                0.77044,                0.82295,                0.66325,                0.75486,                0.58353,                0.85508,             0.00045365,             0.00045365,             0.00045365
                     48,                0.19419,                0.15762,                0.77037,                0.91466,                0.77511,                0.85939,                0.69774,                0.75631,                0.61274,                0.85462,             0.00044541,             0.00044541,             0.00044541
                     49,                0.19665,                0.15914,                0.77018,                0.93267,                0.76486,                0.83947,                0.66869,                0.75429,                0.60434,                0.85684,             0.00043716,             0.00043716,             0.00043716
                     50,                0.19784,                0.15964,                0.77072,                0.93587,                0.77549,                0.84189,                0.67908,                0.76022,                0.62561,                0.85713,             0.00042891,             0.00042891,             0.00042891
                     51,                0.19286,                0.15653,                0.77057,                0.94112,                0.76024,                0.83723,                0.67365,                0.75867,                0.61284,                0.85868,             0.00042066,             0.00042066,             0.00042066
                     52,                0.19634,                0.15806,                0.77058,                0.94396,                0.77465,                0.84456,                 0.6771,                0.75469,                0.58359,                0.85449,             0.00041242,             0.00041242,             0.00041242
                     53,                0.18837,                0.15406,                 0.7701,                0.93568,                0.78044,                0.85398,                  0.678,                  0.754,                0.59859,                0.85567,             0.00040417,             0.00040417,             0.00040417
                     54,                0.18461,                0.15188,                0.76975,                 0.9417,                0.77325,                0.84107,                0.67374,                0.75153,                0.59665,                0.85465,             0.00039592,             0.00039592,             0.00039592
                     55,                 0.1786,                0.14635,                0.76953,                0.93735,                0.78236,                0.84538,                0.68034,                0.75717,                0.59928,                 0.8571,             0.00038768,             0.00038768,             0.00038768
                     56,                0.18321,                0.14805,                0.76932,                0.94093,                0.78222,                0.83815,                 0.6795,                0.75501,                0.60031,                0.85835,             0.00037943,             0.00037943,             0.00037943
                     57,                0.17161,                0.14121,                0.76874,                0.94978,                0.77382,                0.83921,                0.67396,                0.75473,                0.58632,                0.85657,             0.00037118,             0.00037118,             0.00037118
                     58,                0.16981,                0.13941,                0.76871,                0.94952,                0.76354,                0.84605,                 0.6757,                0.75172,                0.59716,                0.85577,             0.00036294,             0.00036294,             0.00036294
                     59,                0.16798,                0.13812,                0.76859,                0.80873,                0.77949,                0.83844,                 0.6797,                 0.7501,                0.59634,                0.85556,             0.00035469,             0.00035469,             0.00035469
                     60,                0.16401,                0.13599,                0.76872,                0.93783,                0.76327,                0.84262,                0.67442,                0.75296,                0.60749,                0.85706,             0.00034644,             0.00034644,             0.00034644
                     61,                0.16739,                0.13838,                0.76976,                0.94892,                0.77115,                0.84934,                 0.6784,                0.75376,                 0.6046,                0.85843,              0.0003382,              0.0003382,              0.0003382
                     62,                0.16974,                 0.1383,                0.76892,                0.94867,                0.76764,                0.84464,                0.67329,                0.75163,                0.58619,                0.85543,             0.00032995,             0.00032995,             0.00032995
                     63,                0.16164,                0.13338,                0.76809,                 0.9415,                0.77085,                0.84316,                0.67967,                0.75373,                0.60333,                 0.8567,              0.0003217,              0.0003217,              0.0003217
                     64,                0.16264,                 0.1338,                0.76842,                0.94846,                0.76639,                0.84268,                0.67954,                0.75288,                0.58514,                0.85686,             0.00031346,             0.00031346,             0.00031346
                     65,                0.15652,                0.13082,                0.76874,                0.93804,                0.77039,                0.84106,                0.67894,                0.74853,                0.60475,                0.85695,             0.00030521,             0.00030521,             0.00030521
                     66,                0.15415,                0.12875,                0.76878,                0.93498,                0.77343,                0.84085,                0.67729,                0.74842,                0.59886,                0.85484,             0.00029696,             0.00029696,             0.00029696
                     67,                0.15522,                0.12878,                0.76797,                0.94144,                 0.7762,                0.84008,                0.67537,                  0.753,                0.59912,                0.85737,             0.00028872,             0.00028872,             0.00028872
                     68,                0.15315,                0.12686,                0.76733,                0.93475,                0.77754,                0.84478,                0.68339,                0.75012,                0.60292,                0.85567,             0.00028047,             0.00028047,             0.00028047
                     69,                0.14972,                0.12539,                0.76794,                0.95416,                0.76219,                0.83739,                0.67325,                0.75325,                0.60174,                0.85745,             0.00027222,             0.00027222,             0.00027222
                     70,                0.14908,                0.12361,                0.76795,                0.94859,                 0.7677,                0.84003,                0.67688,                0.74854,                0.60184,                0.85642,             0.00026398,             0.00026398,             0.00026398
                     71,                 0.1471,                0.12381,                0.76725,                0.94564,                0.76612,                 0.8406,                0.67962,                0.75178,                0.60438,                0.85804,             0.00025573,             0.00025573,             0.00025573
                     72,                0.14473,                0.11998,                0.76789,                0.94446,                0.76584,                0.83854,                0.67896,                0.75016,                0.61013,                 0.8568,             0.00024748,             0.00024748,             0.00024748
                     73,                 0.1418,                0.11847,                0.76719,                0.94585,                0.77069,                0.86147,                0.69938,                0.75042,                0.60579,                0.85656,             0.00023924,             0.00023924,             0.00023924
                     74,                0.13597,                0.11483,                0.76714,                0.94763,                0.77112,                0.86157,                0.69337,                0.74874,                0.60549,                0.85681,             0.00023099,             0.00023099,             0.00023099
                     75,                0.13641,                0.11484,                0.76671,                 0.9432,                0.76879,                0.83937,                0.68086,                0.74789,                0.60536,                0.85641,             0.00022274,             0.00022274,             0.00022274
                     76,                0.13428,                0.11269,                0.76684,                0.94568,                 0.7683,                0.85176,                0.68701,                0.74703,                0.60575,                0.85652,              0.0002145,              0.0002145,              0.0002145
                     77,                0.13076,                 0.1098,                  0.767,                 0.9479,                 0.7659,                0.83883,                0.68373,                0.74407,                0.60983,                0.85544,             0.00020625,             0.00020625,             0.00020625
                     78,                0.12892,                0.10868,                0.76692,                  0.955,                0.76102,                 0.8516,                 0.6938,                0.74514,                 0.6019,                0.85647,               0.000198,               0.000198,               0.000198
                     79,                0.12949,                0.10899,                0.76716,                0.93642,                0.78246,                0.85323,                0.69021,                0.74706,                0.60887,                0.85681,             0.00018976,             0.00018976,             0.00018976
                     80,                0.12569,                0.10655,                0.76589,                0.95076,                0.76521,                0.84886,                0.68664,                0.74713,                0.60802,                0.85652,             0.00018151,             0.00018151,             0.00018151
                     81,                0.12555,                 0.1064,                0.76629,                0.92555,                0.78375,                0.84184,                0.67975,                0.74765,                0.60393,                 0.8566,             0.00017326,             0.00017326,             0.00017326
                     82,                0.12473,                 0.1055,                0.76662,                0.95041,                0.76141,                0.84313,                0.68492,                0.74687,                0.61309,                0.85699,             0.00016502,             0.00016502,             0.00016502
                     83,                0.12096,                0.10412,                0.76637,                0.94782,                0.76916,                0.84423,                 0.6821,                0.74743,                0.60891,                0.85685,             0.00015677,             0.00015677,             0.00015677
                     84,                0.12116,                0.10254,                0.76641,                0.93895,                0.77261,                0.84993,                0.69014,                0.74623,                0.61641,                0.85724,             0.00014852,             0.00014852,             0.00014852
                     85,                0.11912,                0.10128,                0.76618,                0.94173,                0.76748,                0.84314,                0.68189,                0.74451,                0.61696,                0.85732,             0.00014028,             0.00014028,             0.00014028
                     86,                0.11718,                0.09985,                0.76593,                0.93933,                0.77807,                0.84524,                 0.6856,                0.74569,                0.61248,                0.85675,             0.00013203,             0.00013203,             0.00013203
                     87,                0.11603,                0.09863,                0.76597,                0.94465,                0.77109,                0.84318,                0.68486,                0.74645,                0.61615,                0.85696,             0.00012378,             0.00012378,             0.00012378
                     88,                0.11491,                0.09824,                0.76593,                0.94355,                0.77322,                0.85085,                0.68997,                0.74504,                0.61118,                0.85704,             0.00011554,             0.00011554,             0.00011554
                     89,                0.11378,                 0.0978,                 0.7656,                0.94008,                0.77518,                0.84987,                0.68868,                0.74573,                0.61715,                 0.8573,             0.00010729,             0.00010729,             0.00010729
                     90,                0.11276,                0.09685,                 0.7659,                0.93749,                0.77512,                0.85035,                0.69175,                0.74633,                0.62035,                0.85782,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.11182,                0.09605,                0.76577,                0.95221,                0.76444,                0.84439,                0.68694,                0.74658,                0.61821,                0.85721,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.11044,                0.09518,                0.76599,                0.93827,                0.77461,                0.85063,                0.69059,                0.74671,                0.62239,                0.85711,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.10939,                0.09471,                0.76588,                 0.9432,                 0.7687,                0.84978,                0.68952,                0.74585,                0.61994,                0.85738,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.10778,                 0.0938,                 0.7657,                0.94347,                 0.7738,                0.84502,                0.68835,                0.74533,                0.61884,                0.85702,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.10666,                0.09287,                0.76641,                0.95164,                0.76324,                0.85002,                0.69232,                0.74491,                0.61933,                0.85708,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.10548,                0.09161,                0.76545,                 0.9466,                0.76469,                0.85088,                0.68972,                0.74557,                0.61779,                0.85728,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.10483,                0.09191,                0.76543,                0.94275,                0.77203,                0.85065,                0.69114,                0.74524,                0.61953,                0.85732,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.10424,                0.09196,                0.76548,                0.93826,                0.77674,                0.85151,                0.69064,                0.74567,                0.61791,                 0.8576,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.10367,                 0.0911,                0.76541,                0.94131,                0.77412,                0.85115,                0.69518,                0.74549,                0.61913,                0.85743,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.10247,                0.09062,                0.76542,                0.94316,                0.77152,                0.85093,                0.68985,                0.74501,                 0.6201,                0.85746,             1.6577e-05,             1.6577e-05,             1.6577e-05
